,Player,Year,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Duration,Major Injury,Minor Injury Count,Previous Major Injury Count
12388,Al-Farouq Aminu,2010,1,9,20,LAC,81,14,17.9,0.111731843575419,0.2793296089385475,0.394,0.0335195530726257,0.1005586592178771,0.315,0.0782122905027933,0.17877094972067042,0.437,0.45,0.06145251396648046,0.08379888268156425,0.773,0.05027932960893855,0.1340782122905028,0.18435754189944134,0.03910614525139665,0.03910614525139665,0.01675977653631285,0.07262569832402235,0.08379888268156425,0.3128491620111732,0.0,0,0.0,0.0
12389,Lou Amundson,2010,1,3,28,GSW,46,7,15.0,0.12000000000000001,0.26666666666666666,0.454,0.0,0.0,0.0,0.12000000000000001,0.26666666666666666,0.454,0.454,0.04666666666666666,0.12666666666666665,0.391,0.12000000000000001,0.15333333333333332,0.26666666666666666,0.02666666666666667,0.02,0.04666666666666666,0.03333333333333333,0.12666666666666665,0.2866666666666667,0.0,0,0.0,0.0
12390,Chris Andersen,2010,1,0,32,DEN,45,0,16.3,0.11042944785276074,0.18404907975460122,0.599,0.0,0.0,0.0,0.11042944785276074,0.18404907975460122,0.603,0.599,0.1165644171779141,0.18404907975460122,0.637,0.10429447852760736,0.19631901840490798,0.3006134969325153,0.024539877300613498,0.03067484662576687,0.07975460122699386,0.03680981595092024,0.11042944785276074,0.3435582822085889,17.0,0,5.0,0.0
12395,David Andersen,2010,1,3,30,TOT,80,0,9.31125,0.1503557524499933,0.3221908981071285,0.463,0.0214793932071419,0.0644381796214257,0.348,0.1288763592428514,0.26849241508927374,0.49,0.496,0.0429587864142838,0.0644381796214257,0.636,0.05369848301785475,0.1718351456571352,0.22553362867498997,0.03221908981071285,0.01073969660357095,0.0214793932071419,0.0644381796214257,0.1073969660357095,0.3651496845214123,7.0,0,9.0,0.0
12404,James Anderson,2010,1,9,21,SAS,26,2,11.0,0.10909090909090909,0.2818181818181818,0.383,0.06363636363636363,0.16363636363636364,0.391,0.045454545454545456,0.11818181818181818,0.371,0.494,0.045454545454545456,0.06363636363636363,0.778,0.009090909090909092,0.07272727272727274,0.08181818181818182,0.06363636363636363,0.009090909090909092,0.018181818181818184,0.045454545454545456,0.08181818181818182,0.32727272727272727,67.0,1,3.0,0.0
12409,Ryan Anderson,2010,1,3,22,ORL,64,14,22.3,0.1569506726457399,0.3677130044843049,0.43,0.09417040358744394,0.23766816143497757,0.393,0.06278026905829596,0.13004484304932734,0.5,0.558,0.06726457399103139,0.08071748878923767,0.812,0.08968609865470852,0.1569506726457399,0.24663677130044842,0.03587443946188341,0.02242152466367713,0.026905829596412554,0.03587443946188341,0.09417040358744394,0.47533632286995514,17.0,1,1.0,0.0
12411,Carmelo Anthony,2010,1,9,26,TOT,154,154,35.72272727272727,0.24914111210077622,0.5458709759511389,0.455,0.033592060058531624,0.09237816516096196,0.378,0.21274971370403362,0.4562921491283879,0.47,0.487,0.18475633032192393,0.22114772871866653,0.838,0.04199007507316453,0.16236162361623618,0.2043516986894007,0.08118081180811809,0.02519404504389872,0.016796030029265812,0.07558213513169616,0.08118081180811809,0.716630614582008,100.0,1,0.0,0.0
12414,Joel Anthony,2010,1,0,28,MIA,75,11,19.5,0.035897435897435895,0.06666666666666667,0.535,0.0,0.0,0.0,0.035897435897435895,0.06666666666666667,0.535,0.535,0.030769230769230767,0.05128205128205128,0.644,0.07179487179487179,0.11282051282051284,0.1794871794871795,0.015384615384615384,0.005128205128205128,0.061538461538461535,0.02564102564102564,0.13333333333333333,0.10256410256410256,0.0,0,0.0,0.0
12415,Gilbert Arenas,2010,1,6,29,TOT,140,32,25.67,0.148032723022984,0.40903778730035056,0.366,0.05453837164004674,0.1830931047915855,0.297,0.09738994935722632,0.22594468250876507,0.423,0.433,0.0662251655629139,0.08570315543435918,0.784,0.011686793922867159,0.09349435138293727,0.10518114530580444,0.15192832099727308,0.04285157771717959,0.011686793922867159,0.09738994935722632,0.10518114530580444,0.42072458122321776,8.0,0,3.0,0.0
12418,Trevor Ariza,2010,1,9,25,NOH,75,75,34.7,0.11527377521613832,0.2939481268011527,0.398,0.03170028818443804,0.10374639769452448,0.303,0.08357348703170028,0.18731988472622477,0.45,0.451,0.05187319884726224,0.07492795389048991,0.701,0.023054755043227664,0.13256484149855904,0.15561959654178675,0.06340057636887608,0.04610951008645533,0.011527377521613832,0.04610951008645533,0.06916426512968299,0.31700288184438036,4.0,0,1.0,0.0
12419,Hilton Armstrong,2010,1,0,26,TOT,106,4,9.181132075471696,0.07624332100287712,0.15248664200575424,0.487,0.0,0.010891903000411018,0.5,0.07624332100287712,0.15248664200575424,0.486,0.5,0.03267570900123305,0.0653514180024661,0.485,0.08713522400328814,0.1851623510069873,0.27229757501027546,0.03267570900123305,0.03267570900123305,0.04356761200164407,0.054459515002055085,0.1742704480065763,0.1851623510069873,2.0,0,6.0,0.0
12425,Carlos Arroyo,2010,1,6,31,TOT,128,86,18.509375,0.10265068377511397,0.23231470538578425,0.44,0.027013337835556307,0.05942934323822388,0.449,0.07563734593955766,0.17288536214756037,0.436,0.496,0.03241600540266757,0.03781867296977883,0.83,0.016208002701333785,0.0702346783724464,0.08644268107378018,0.10805335134222523,0.016208002701333785,0.0,0.04862400810400135,0.05942934323822388,0.25932804322134057,0.0,0,0.0,0.0
12428,Darrell Arthur,2010,1,3,22,MEM,80,9,20.1,0.19402985074626863,0.38805970149253727,0.497,0.0,0.004975124378109453,0.0,0.19402985074626863,0.38308457711442784,0.502,0.497,0.06965174129353233,0.08457711442786069,0.813,0.06965174129353233,0.13930348258706465,0.21393034825870644,0.03482587064676616,0.03482587064676616,0.03980099502487562,0.05472636815920398,0.1442786069651741,0.45273631840796014,3.0,0,1.0,0.0
12429,Ömer Aşık,2010,1,0,24,CHI,82,0,12.1,0.08264462809917356,0.14049586776859505,0.553,0.0,0.0,0.0,0.08264462809917356,0.14049586776859505,0.553,0.553,0.0743801652892562,0.1487603305785124,0.503,0.11570247933884296,0.19834710743801653,0.3057851239669422,0.03305785123966942,0.01652892561983471,0.05785123966942148,0.06611570247933884,0.15702479338842976,0.23140495867768593,0.0,0,0.0,0.0
12430,D.J. Augustin,2010,1,6,23,CHA,82,82,33.6,0.14583333333333334,0.3482142857142857,0.416,0.041666666666666664,0.1220238095238095,0.333,0.10416666666666666,0.22619047619047616,0.461,0.474,0.0982142857142857,0.10714285714285714,0.906,0.01488095238095238,0.06845238095238095,0.08035714285714286,0.18154761904761904,0.020833333333333332,0.0,0.05654761904761904,0.05654761904761904,0.42857142857142855,0.0,0,0.0,0.0
12431,Luke Babbitt,2010,1,9,21,POR,24,0,5.7,0.10526315789473684,0.40350877192982454,0.273,0.017543859649122806,0.12280701754385964,0.188,0.08771929824561403,0.2807017543859649,0.308,0.3,0.017543859649122806,0.07017543859649122,0.333,0.05263157894736842,0.17543859649122806,0.22807017543859648,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.05263157894736842,0.10526315789473684,0.2631578947368421,15.0,0,3.0,0.0
12434,Renaldo Balkman,2010,1,9,26,TOT,16,0,7.775000000000001,0.10289389067524114,0.20578778135048229,0.462,0.012861736334405143,0.03858520900321542,0.5,0.07717041800643085,0.18006430868167198,0.455,0.5,0.05144694533762057,0.06430868167202572,0.75,0.03858520900321542,0.07717041800643085,0.11575562700964628,0.03858520900321542,0.06430868167202572,0.03858520900321542,0.012861736334405143,0.2443729903536977,0.2572347266881029,5.0,1,27.0,0.0
12467,Marcus Banks,2010,1,6,29,TOR,3,0,7.3,0.0,0.0958904109589041,0.0,0.0,0.0,0.0,0.0,0.0958904109589041,0.0,0.0,0.273972602739726,0.36986301369863017,0.75,0.0,0.0410958904109589,0.0410958904109589,0.136986301369863,0.0410958904109589,0.0,0.0958904109589041,0.17808219178082194,0.273972602739726,2.0,1,2.0,0.0
12472,Leandro Barbosa,2010,1,13,28,TOR,58,0,24.1,0.21161825726141076,0.46887966804979253,0.45,0.04979253112033195,0.15352697095435686,0.338,0.15767634854771784,0.3153526970954357,0.505,0.505,0.07883817427385892,0.0995850622406639,0.796,0.008298755186721992,0.06224066390041493,0.07053941908713693,0.08713692946058091,0.03734439834024896,0.004149377593360996,0.05809128630705394,0.07883817427385892,0.5518672199170125,11.0,1,2.0,0.0
12475,J.J. Barea,2010,1,6,26,DAL,81,2,20.6,0.1699029126213592,0.3883495145631068,0.439,0.038834951456310676,0.11165048543689318,0.349,0.13106796116504854,0.2766990291262136,0.476,0.49,0.07766990291262135,0.09223300970873785,0.847,0.019417475728155338,0.07766990291262135,0.0970873786407767,0.18932038834951453,0.019417475728155338,0.0,0.08252427184466019,0.08252427184466019,0.4611650485436893,0.0,0,0.0,0.0
12476,Andrea Bargnani,2010,1,0,25,TOR,66,66,35.7,0.22408963585434172,0.49859943977591037,0.448,0.03361344537815126,0.09523809523809523,0.345,0.19047619047619047,0.4033613445378151,0.472,0.48,0.12044817927170867,0.14845938375350137,0.82,0.03081232492997199,0.11484593837535012,0.1456582633053221,0.050420168067226885,0.014005602240896357,0.019607843137254898,0.06442577030812324,0.06722689075630252,0.599439775910364,8.0,1,2.0,0.0
12479,Matt Barnes,2010,1,9,30,LAL,53,0,19.2,0.13020833333333334,0.2760416666666667,0.47,0.03125,0.10416666666666667,0.318,0.09375,0.16666666666666669,0.564,0.53,0.05729166666666667,0.078125,0.779,0.07291666666666667,0.15104166666666666,0.22395833333333334,0.06770833333333334,0.036458333333333336,0.020833333333333336,0.05729166666666667,0.125,0.34895833333333337,100.0,1,0.0,0.0
12480,Earl Barron,2010,1,0,29,TOT,42,14,14.51904761904762,0.1033125614955723,0.32371269268612657,0.323,0.0,0.0,0.0,0.1033125614955723,0.32371269268612657,0.323,0.323,0.04821252869793374,0.07576254509675304,0.625,0.1033125614955723,0.14463758609380123,0.24795014758937353,0.0344375204985241,0.027550016398819283,0.02066251229911446,0.055100032797638566,0.15152509019350607,0.26172515578878314,0.0,0,0.0,0.0
12484,Brandon Bass,2010,1,3,25,ORL,76,51,26.1,0.1685823754789272,0.32567049808429116,0.515,0.0,0.0,0.0,0.1685823754789272,0.32567049808429116,0.516,0.515,0.09578544061302681,0.11877394636015326,0.815,0.06896551724137931,0.14559386973180075,0.21455938697318006,0.03065134099616858,0.01532567049808429,0.026819923371647507,0.04980842911877394,0.08045977011494253,0.4291187739463601,0.0,0,0.0,0.0
12485,Tony Battie,2010,1,0,34,PHI,38,0,9.9,0.1212121212121212,0.25252525252525254,0.469,0.010101010101010102,0.010101010101010102,0.667,0.11111111111111112,0.2424242424242424,0.462,0.479,0.020202020202020204,0.04040404040404041,0.571,0.04040404040404041,0.22222222222222224,0.26262626262626265,0.0303030303030303,0.010101010101010102,0.04040404040404041,0.0303030303030303,0.16161616161616163,0.26262626262626265,10.0,0,2.0,0.0
12487,Shane Battier,2010,1,9,32,TOT,164,118,28.97439024390244,0.0966370638494886,0.21398206995243907,0.45,0.04141588450692369,0.11389368239404014,0.382,0.05176985563365461,0.10353971126730922,0.525,0.55,0.02761058967128246,0.037964560798013386,0.688,0.037964560798013386,0.12079632981186077,0.15530956690096384,0.07938044530493707,0.02761058967128246,0.034513237089103074,0.034513237089103074,0.06557515046929584,0.26230060187718335,0.0,0,0.0,0.0
12490,Nicolas Batum,2010,1,9,22,POR,80,67,31.5,0.146031746031746,0.3206349206349206,0.455,0.047619047619047616,0.1365079365079365,0.345,0.09841269841269841,0.1841269841269841,0.535,0.528,0.053968253968253964,0.06666666666666667,0.841,0.04444444444444444,0.10158730158730159,0.14285714285714285,0.047619047619047616,0.02857142857142857,0.019047619047619046,0.031746031746031744,0.07619047619047618,0.39365079365079364,100.0,1,0.0,0.0
12491,Jerryd Bayless,2010,1,6,22,TOT,142,28,21.102816901408453,0.14689981979576852,0.34592538209971296,0.422,0.033170927050657405,0.09951278115197223,0.336,0.11372889274511111,0.24641260094774076,0.456,0.469,0.10899018888073148,0.13742241206700925,0.806,0.01895481545751852,0.0947740772875926,0.10899018888073148,0.1753320429820463,0.02369351932189815,0.00473870386437963,0.08529666955883333,0.09951278115197223,0.4359607555229259,1.0,0,3.0,0.0
12494,Michael Beasley,2010,1,9,22,MIN,73,73,32.3,0.238390092879257,0.5294117647058825,0.45,0.024767801857585144,0.06811145510835914,0.366,0.21362229102167185,0.45820433436532515,0.463,0.474,0.09287925696594428,0.12383900928792571,0.753,0.04953560371517029,0.12383900928792571,0.17337461300309598,0.06811145510835914,0.021671826625386997,0.021671826625386997,0.08359133126934985,0.09287925696594428,0.5944272445820433,2.0,0,3.0,0.0
12497,Rodrigue Beaubois,2010,1,6,22,DAL,28,26,17.7,0.192090395480226,0.4519774011299435,0.422,0.05084745762711865,0.16949152542372883,0.301,0.14124293785310735,0.2824858757062147,0.493,0.478,0.04519774011299436,0.06214689265536724,0.767,0.01694915254237288,0.09039548022598871,0.10734463276836158,0.12994350282485875,0.03954802259887005,0.01694915254237288,0.096045197740113,0.15254237288135594,0.4745762711864407,112.0,1,0.0,0.0
12498,Marco Belinelli,2010,1,13,24,NOH,80,69,24.5,0.15510204081632653,0.3510204081632653,0.437,0.06938775510204082,0.16734693877551018,0.414,0.08571428571428572,0.1877551020408163,0.458,0.534,0.04897959183673469,0.0653061224489796,0.784,0.00816326530612245,0.06938775510204082,0.07755102040816327,0.04897959183673469,0.02040816326530612,0.004081632653061225,0.04081632653061224,0.07346938775510205,0.42857142857142855,3.0,0,1.0,0.0
12499,Charlie Bell,2010,1,13,31,GSW,19,0,9.0,0.06666666666666667,0.25555555555555554,0.279,0.03333333333333333,0.12222222222222223,0.286,0.03333333333333333,0.13333333333333333,0.273,0.349,0.011111111111111112,0.022222222222222223,0.5,0.03333333333333333,0.06666666666666667,0.1,0.07777777777777778,0.03333333333333333,0.011111111111111112,0.03333333333333333,0.07777777777777778,0.18888888888888888,4.0,0,4.0,0.0
12503,Raja Bell,2010,1,13,34,UTA,68,63,30.8,0.0909090909090909,0.22402597402597405,0.409,0.032467532467532464,0.0909090909090909,0.352,0.05844155844155844,0.12987012987012986,0.449,0.482,0.04220779220779221,0.048701298701298704,0.892,0.016233766233766232,0.06818181818181818,0.08441558441558442,0.05519480519480519,0.025974025974025976,0.006493506493506494,0.02922077922077922,0.08116883116883117,0.2597402597402597,100.0,1,0.0,0.0
12504,Mike Bibby,2010,1,6,32,TOT,160,136,28.59,0.10842952081147254,0.2518363064008395,0.431,0.0664568030779993,0.15389996502273523,0.44,0.04197271773347324,0.10143406785589366,0.417,0.563,0.017488632388947184,0.027981811822315496,0.629,0.006995452955578874,0.07694998251136762,0.08394543546694648,0.11542497376705141,0.02098635886673662,0.003497726477789437,0.04547044421126268,0.07694998251136762,0.30080447708989155,0.0,0,0.0,0.0
12508,Andris Biedriņš,2010,1,0,24,GSW,59,55,23.7,0.10126582278481013,0.189873417721519,0.534,0.0,0.0,0.0,0.10126582278481013,0.189873417721519,0.534,0.534,0.008438818565400845,0.02109704641350211,0.323,0.10548523206751055,0.20253164556962025,0.3037974683544304,0.04219409282700422,0.0379746835443038,0.0379746835443038,0.04219409282700422,0.14345991561181434,0.2109704641350211,0.0,0,0.0,0.0
12509,Chauncey Billups,2010,1,6,34,TOT,144,144,32.09791666666666,0.1464269487895113,0.34270136950736685,0.427,0.062309339910430334,0.15577334977607582,0.402,0.08411760887908096,0.186928019731291,0.448,0.519,0.16511975076264038,0.18069708574024795,0.916,0.00934640098656455,0.07165574089699488,0.08100214188355943,0.16823521775816191,0.031154669955215167,0.006230933991043033,0.07788667488803791,0.062309339910430334,0.5233984552476149,6.0,0,9.0,0.0
12518,DeJuan Blair,2010,1,3,21,SAS,81,65,21.4,0.16822429906542058,0.33644859813084116,0.501,0.0,0.0,0.0,0.16822429906542058,0.33644859813084116,0.503,0.501,0.05140186915887851,0.07943925233644861,0.657,0.12616822429906543,0.20093457943925233,0.3271028037383178,0.04672897196261683,0.056074766355140186,0.023364485981308414,0.06542056074766354,0.12149532710280375,0.38785046728971967,2.0,0,1.0,0.0
12519,Steve Blake,2010,1,6,30,LAL,79,0,20.0,0.06999999999999999,0.195,0.359,0.045,0.12,0.378,0.025,0.06999999999999999,0.327,0.479,0.015,0.02,0.867,0.01,0.08499999999999999,0.1,0.11000000000000001,0.025,0.0,0.045,0.065,0.2,2.0,0,1.0,0.0
12520,Andray Blatche,2010,1,3,24,WAS,64,63,33.9,0.1976401179941003,0.4424778761061947,0.445,0.0029498525073746317,0.008849557522123894,0.222,0.19469026548672566,0.4336283185840708,0.449,0.447,0.10029498525073746,0.1297935103244838,0.777,0.0855457227138643,0.15929203539823011,0.24188790560471976,0.06784660766961652,0.04424778761061947,0.023598820058997053,0.07964601769911506,0.08259587020648967,0.4955752212389381,3.0,0,5.0,0.0
12525,Eric Bledsoe,2010,1,6,21,LAC,81,25,22.7,0.11013215859030838,0.2643171806167401,0.424,0.01762114537444934,0.06167400881057269,0.276,0.09251101321585904,0.2026431718061674,0.47,0.457,0.05286343612334802,0.07048458149779736,0.744,0.03524229074889868,0.08370044052863436,0.12334801762114538,0.15859030837004406,0.04845814977973569,0.013215859030837005,0.10572687224669604,0.07048458149779736,0.29515418502202645,0.0,0,0.0,0.0
12526,Keith Bogans,2010,1,13,30,CHI,82,82,17.8,0.08426966292134831,0.20786516853932585,0.404,0.06179775280898877,0.16292134831460672,0.38,0.02247191011235955,0.05056179775280899,0.486,0.55,0.016853932584269662,0.02247191011235955,0.656,0.011235955056179775,0.0898876404494382,0.10112359550561797,0.06741573033707865,0.028089887640449437,0.0056179775280898875,0.028089887640449437,0.07865168539325842,0.24719101123595508,0.0,0,0.0,0.0
12527,Andrew Bogut,2010,1,0,26,MIL,65,65,35.3,0.15864022662889518,0.3229461756373938,0.495,0.0,0.0028328611898017003,0.0,0.15864022662889518,0.3229461756373938,0.497,0.495,0.042492917847025496,0.09348441926345609,0.442,0.0878186968838527,0.226628895184136,0.31444759206798867,0.056657223796034,0.019830028328611898,0.0736543909348442,0.053824362606232294,0.09348441926345609,0.36260623229461764,3.0,1,2.0,0.0
12530,Matt Bonner,2010,1,3,30,SAS,66,1,21.7,0.11981566820276499,0.25806451612903225,0.464,0.07373271889400922,0.16129032258064516,0.457,0.04608294930875576,0.09677419354838711,0.475,0.605,0.02304147465437788,0.03225806451612903,0.744,0.041474654377880185,0.12442396313364057,0.16589861751152074,0.041474654377880185,0.018433179723502304,0.013824884792626727,0.018433179723502304,0.07834101382488479,0.33640552995391704,14.0,0,2.0,0.0
12532,Trevor Booker,2010,1,3,23,WAS,65,14,16.4,0.12804878048780488,0.2378048780487805,0.549,0.0,0.0,0.0,0.12804878048780488,0.2378048780487805,0.552,0.549,0.06097560975609757,0.09756097560975611,0.673,0.09146341463414635,0.14634146341463417,0.2378048780487805,0.030487804878048783,0.02439024390243903,0.03658536585365854,0.03658536585365854,0.10975609756097562,0.3231707317073171,100.0,1,0.0,0.0
12533,Carlos Boozer,2010,1,0,29,CHI,59,59,31.9,0.22884012539184953,0.4482758620689656,0.51,0.0,0.0,0.0,0.22884012539184953,0.4482758620689656,0.51,0.51,0.09090909090909091,0.12852664576802508,0.701,0.06896551724137932,0.23197492163009406,0.30094043887147337,0.07836990595611286,0.025078369905956115,0.009404388714733543,0.07836990595611286,0.10031347962382446,0.54858934169279,35.0,1,1.0,0.0
12535,Chris Bosh,2010,1,3,26,MIA,77,77,36.3,0.18732782369146006,0.3774104683195592,0.496,0.002754820936639119,0.008264462809917356,0.24,0.18457300275482097,0.36914600550964194,0.502,0.499,0.13774104683195593,0.16804407713498623,0.815,0.04958677685950414,0.1790633608815427,0.22865013774104687,0.05234159779614325,0.022038567493112952,0.01652892561983471,0.04958677685950414,0.060606060606060615,0.5151515151515151,12.0,0,1.0,0.0
12536,Earl Boykins,2010,1,6,34,MIL,57,0,15.1,0.17880794701986757,0.41059602649006627,0.443,0.033112582781456956,0.07947019867549669,0.38,0.152317880794702,0.3245033112582782,0.459,0.482,0.07947019867549669,0.09271523178807947,0.841,0.019867549668874173,0.046357615894039736,0.06622516556291391,0.16556291390728478,0.046357615894039736,0.006622516556291392,0.05960264900662252,0.05298013245033113,0.4768211920529802,0.0,0,0.0,0.0
12537,Craig Brackins,2010,1,3,23,PHI,3,0,11.0,0.11818181818181818,0.4818181818181818,0.25,0.0,0.15454545454545454,0.0,0.11818181818181818,0.33636363636363636,0.364,0.25,0.0,0.0,0.0,0.06363636363636363,0.06363636363636363,0.11818181818181818,0.02727272727272727,0.02727272727272727,0.0,0.0,0.09090909090909091,0.24545454545454548,14.0,1,4.0,0.0
12542,Avery Bradley,2010,1,6,20,BOS,31,0,5.2,0.1346153846153846,0.4230769230769231,0.343,0.0,0.038461538461538464,0.0,0.1346153846153846,0.3846153846153846,0.371,0.343,0.038461538461538464,0.07692307692307693,0.5,0.019230769230769232,0.07692307692307693,0.09615384615384615,0.07692307692307693,0.05769230769230769,0.0,0.09615384615384615,0.11538461538461538,0.3269230769230769,24.0,0,4.0,0.0
12546,Elton Brand,2010,1,3,31,PHI,81,81,34.7,0.1786743515850144,0.3487031700288184,0.512,0.0,0.0,0.0,0.1786743515850144,0.3487031700288184,0.512,0.512,0.07492795389048991,0.09798270893371756,0.78,0.08357348703170028,0.15561959654178675,0.23919308357348704,0.04322766570605187,0.03170028818443804,0.037463976945244955,0.034582132564841495,0.08645533141210374,0.4322766570605187,0.0,0,0.0,0.0
12547,Corey Brewer,2010,1,12,24,TOT,138,48,21.884782608695648,0.12794278335154466,0.3244263434985597,0.395,0.018277540478792098,0.07311016191516839,0.268,0.10966524287275257,0.24674679646369332,0.434,0.426,0.09138770239396048,0.12794278335154466,0.708,0.036555080957584196,0.0776795470348664,0.1142346279924506,0.05940200655607432,0.06397139167577233,0.009138770239396049,0.05940200655607432,0.10509585775305455,0.3655508095758419,100.0,1,3.0,0.0
12553,Ronnie Brewer,2010,1,13,25,CHI,81,1,22.0,0.11363636363636363,0.2409090909090909,0.48,0.004545454545454546,0.013636363636363636,0.222,0.11363636363636363,0.22272727272727275,0.498,0.487,0.05,0.07272727272727274,0.654,0.031818181818181815,0.11818181818181818,0.14545454545454548,0.07727272727272727,0.05909090909090909,0.013636363636363636,0.031818181818181815,0.045454545454545456,0.2818181818181818,0.0,0,0.0,0.0
12554,Jon Brockman,2010,1,0,23,MIL,63,6,10.7,0.07476635514018692,0.14018691588785048,0.511,0.0,0.0,0.0,0.07476635514018692,0.14018691588785048,0.511,0.511,0.056074766355140186,0.08411214953271029,0.678,0.11214953271028037,0.15887850467289721,0.2710280373831776,0.028037383177570093,0.01869158878504673,0.0,0.03738317757009346,0.17757009345794392,0.20560747663551404,3.0,0,2.0,0.0
12556,Aaron Brooks,2010,1,6,26,TOT,118,24,21.790677966101697,0.16979737875782677,0.45432271613580677,0.375,0.05506942013767354,0.18356473379224514,0.297,0.11472795862015323,0.27075798234356163,0.427,0.434,0.09637148524092871,0.11013884027534708,0.886,0.013767355034418385,0.045891183448061285,0.05965853848247968,0.178975615447439,0.02753471006883677,0.004589118344806129,0.07801501186170419,0.08719324855131644,0.49103566289425576,42.0,1,6.0,0.0
