,Date,Team,Acquired,Relinquished,Notes,Duration,Year,Season
0,2010-10-26,Blazers,2010-11-02,Elliot Williams,placed on IL,7.0,2010,post
1,2010-10-26,Blazers,season,Greg Oden,placed on IL with left knee injury (out for season),100.0,2010,post
5,2010-10-26,Celtics,2010-10-29,Luke Harangody,placed on IL,3.0,2010,post
6,2010-10-26,Heat,2011-04-01,Dexter Pittman,placed on IL,157.0,2010,post
7,2010-10-26,Heat,2010-10-27,Jerry Stackhouse,placed on IL,1.0,2010,post
10,2010-10-26,Lakers,2010-11-05,Luke Walton,placed on IL with strained right hamstring,10.0,2010,post
11,2010-10-26,Rockets,2010-10-27,Jermaine Taylor,placed on IL,1.0,2010,post
12,2010-10-26,Rockets,2010-10-30,Kyle Lowry,placed on IL with back spasms,4.0,2010,post
13,2010-10-26,Rockets,season,Patrick Patterson,placed on IL,100.0,2010,post
14,2010-10-26,Suns,2010-11-15,Gani Lawal,placed on IL,20.0,2010,post
15,2010-10-26,Suns,season,Matt Janning,placed on IL,100.0,2010,post
16,2010-10-27,76ers,2010-11-10,Craig Brackins,placed on IL,14.0,2010,post
17,2010-10-27,76ers,2010-11-07,Jodie Meeks,placed on IL,11.0,2010,post
18,2010-10-27,Bobcats,2010-11-20,Dominic McGuire,placed on IL with stress fracture in left shin,24.0,2010,post
19,2010-10-27,Bobcats,2010-11-13,Eduardo Najera,placed on IL with sports hernia,17.0,2010,post
20,2010-10-27,Bobcats,2010-11-15,Kwame Brown,placed on IL with sprained left ankle,19.0,2010,post
21,2010-10-27,Bucks,2010-11-27,Chris Douglas-Roberts,placed on IL with right eye injury,31.0,2010,post
23,2010-10-27,Bulls,2010-12-01,Carlos Boozer,placed on IL with fractured bone in right pinky finger,35.0,2010,post
24,2010-10-27,Cavaliers,2011-01-02,Christian Eyenga,placed on IL,67.0,2010,post
25,2010-10-27,Cavaliers,2010-11-02,Maurice Williams / Mo Williams,placed on IL with groin injury,6.0,2010,post
26,2010-10-27,Cavaliers,2010-10-29,Samardo Samuels,placed on IL,2.0,2010,post
27,2010-10-27,Clippers,2010-10-31,Craig Smith,placed on IL with back injury,4.0,2010,post
28,2010-10-27,Clippers,2010-11-01,Willie Warren,placed on IL,5.0,2010,post
30,2010-10-27,Grizzlies,2010-10-29,Marc Gasol,placed on IL with sprained right ankle / left ankle,2.0,2010,post
31,2010-10-27,Hawks,2010-10-29,Etan Thomas,placed on IL,2.0,2010,post
32,2010-10-27,Hawks,2011-03-12,Pape Sy,placed on IL with strained lower back,136.0,2010,post
33,2010-10-27,Heat,2010-10-29,Jamaal Magloire,placed on IL,2.0,2010,post
34,2010-10-27,Hornets,2010-11-22,Aaron Gray,placed on IL,26.0,2010,post
35,2010-10-27,Hornets,season,Joe Alexander,placed on IL,100.0,2010,post
36,2010-10-27,Hornets,2010-11-03,Quincy Pondexter,placed on IL,7.0,2010,post
38,2010-10-27,Kings,2010-10-29,Antoine Wright,placed on IL,2.0,2010,post
39,2010-10-27,Kings,2010-10-29,Samuel Dalembert,placed on IL with strained left abductor,2.0,2010,post
40,2010-10-27,Knicks,2010-11-04,Anthony Randolph,placed on IL with sprained left ankle,8.0,2010,post
41,2010-10-27,Knicks,season,Eddy Curry,placed on IL with strained right hamstring,100.0,2010,post
43,2010-10-27,Mavericks,2010-11-26,Alexis Ajinca / Alex Ajinca,placed on IL,30.0,2010,post
44,2010-10-27,Mavericks,2011-02-16,Rodrigue Beaubois,placed on IL with fractured left foot,112.0,2010,post
45,2010-10-27,Mavericks,2010-11-10,Steve Novak,placed on IL,14.0,2010,post
46,2010-10-27,Nets,2010-11-10,Ben Uzoh,placed on IL,14.0,2010,post
47,2010-10-27,Nets,2010-11-03,Quinton Ross,placed on IL,7.0,2010,post
48,2010-10-27,Nets,2010-11-03,Troy Murphy,placed on IL with strained lower back,7.0,2010,post
51,2010-10-27,Pacers,2010-11-16,A.J. Price,placed on IL,20.0,2010,post
52,2010-10-27,Pacers,2010-10-30,Dahntay Jones,placed on IL,3.0,2010,post
53,2010-10-27,Pacers,2011-01-07,Lance Stephenson,placed on IL,72.0,2010,post
54,2010-10-27,Pistons,2010-11-14,Chris Wilcox,placed on IL with sore left hamstring,18.0,2010,post
58,2010-10-27,Raptors,2010-10-29,Marcus Banks,placed on IL,2.0,2010,post
59,2010-10-27,Raptors,2010-11-12,Solomon Alabi,placed on IL,16.0,2010,post
60,2010-10-27,Rockets,2010-10-30,Yao Ming,placed on IL,3.0,2010,post
61,2010-10-27,Spurs,2010-10-30,Alonzo Gee,placed on IL,3.0,2010,post
62,2010-10-27,Spurs,2010-11-01,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),5.0,2010,post
63,2010-10-27,Thunder,2010-11-12,Byron Mullens / B.J. Mullens,placed on IL,16.0,2010,post
64,2010-10-27,Thunder,2010-11-07,Morris Peterson,placed on IL,11.0,2010,post
65,2010-10-27,Thunder,2010-11-14,Nick Collison,placed on IL with stress reaction in lower left leg,18.0,2010,post
68,2010-10-27,Timberwolves,2010-11-03,Maurice Ager,placed on IL with bruised left quadriceps,7.0,2010,post
70,2010-10-27,Warriors,2010-10-29,Jeremy Lin,placed on IL,2.0,2010,post
72,2010-10-28,Magic,season,Daniel Orton,placed on IL,100.0,2010,post
73,2010-10-28,Magic,2010-11-06,Malik Allen,placed on IL,9.0,2010,post
74,2010-10-28,Wizards,2010-11-05,Gilbert Arenas,placed on IL with sprained right ankle,8.0,2010,post
75,2010-10-28,Wizards,2010-12-18,Josh Howard,placed on IL with torn ACL in left knee,51.0,2010,post
76,2010-10-28,Wizards,2010-10-30,Kevin Seraphin,placed on IL,2.0,2010,post
77,2010-10-29,Celtics,2010-11-02,Jermaine O'Neal,placed on IL with left knee injury,4.0,2010,post
78,2010-10-29,Grizzlies,2010-11-05,Zach Randolph,placed on IL with bruised tailbone,7.0,2010,post
79,2010-10-29,Hawks,2010-11-12,Maurice Evans,placed on IL with right knee inflammation,14.0,2010,post
80,2010-10-29,Heat,2010-11-02,Juwan Howard,placed on IL,4.0,2010,post
81,2010-10-29,Kings,2010-11-06,Eugene Jeter / Pooh Jeter,placed on IL,8.0,2010,post
82,2010-10-29,Kings,2010-11-06,Hassan Whiteside,placed on IL,8.0,2010,post
83,2010-10-29,Raptors,2010-11-01,Joey Dorsey,placed on IL,3.0,2010,post
84,2010-10-29,Warriors,2010-10-31,Jeff Adrien,placed on IL,2.0,2010,post
85,2010-10-30,Cavaliers,2010-11-13,Samardo Samuels,placed on IL,14.0,2010,post
86,2010-10-30,Grizzlies,2010-11-02,Xavier Henry,placed on IL,3.0,2010,post
87,2010-10-30,Pacers,2010-11-16,Jeff Foster,placed on IL,17.0,2010,post
88,2010-10-30,Rockets,2010-11-06,Ishmael Smith / Ish Smith,placed on IL,7.0,2010,post
89,2010-10-30,Spurs,2010-11-13,Matt Bonner,placed on IL with sprained right ankle,14.0,2010,post
90,2010-10-31,Clippers,2010-11-12,Randy Foye,placed on IL with strained left hamstring,12.0,2010,post
91,2010-10-31,Warriors,2010-11-05,Stephen Curry,placed on IL with sprained right ankle,5.0,2010,post
92,2010-11-01,Clippers,2010-11-09,Baron Davis,placed on IL with sore left knee,8.0,2010,post
93,2010-11-01,Raptors,2010-11-06,Marcus Banks,placed on IL,5.0,2010,post
94,2010-11-01,Spurs,2010-11-03,Alonzo Gee,placed on IL,2.0,2010,post
95,2010-11-02,Blazers,2010-11-04,Patrick Mills / Patty Mills,placed on IL,2.0,2010,post
96,2010-11-02,Cavaliers,2010-11-09,Antawn Jamison,placed on IL with sore left knee,7.0,2010,post
97,2010-11-02,Celtics,2010-11-11,Shaquille O'Neal,placed on IL with bruised right knee,9.0,2010,post
98,2010-11-02,Grizzlies,2010-11-03,Greivis Vasquez,placed on IL,1.0,2010,post
99,2010-11-02,Heat,2010-11-06,Jamaal Magloire,placed on IL,4.0,2010,post
100,2010-11-03,Grizzlies,2010-11-26,DeMarre Carroll,placed on IL,23.0,2010,post
101,2010-11-03,Hornets,2010-11-13,Predrag Stojakovic / Peja Stojakovic,placed on IL,10.0,2010,post
102,2010-11-03,Nets,2010-11-10,Joe Smith (Leynard),placed on IL,7.0,2010,post
103,2010-11-03,Nets,2010-11-09,Stephen Graham,placed on IL,6.0,2010,post
104,2010-11-03,Rockets,2010-11-06,Jermaine Taylor,placed on IL,3.0,2010,post
105,2010-11-03,Spurs,2010-11-06,George Hill,placed on IL with neck injury,3.0,2010,post
106,2010-11-03,Timberwolves,2010-11-05,Michael Beasley,placed on IL with bruised left hip,2.0,2010,post
107,2010-11-04,Knicks,2010-11-10,Shawne Williams,placed on IL,6.0,2010,post
108,2010-11-05,Grizzlies,2010-12-13,Hamed Haddadi,placed on IL,38.0,2010,post
109,2010-11-05,Lakers,2010-11-09,Devin Ebanks,placed on IL,4.0,2010,post
110,2010-11-05,Timberwolves,season,Maurice Ager,placed on IL,100.0,2010,post
111,2010-11-05,Warriors,2010-11-07,Jeremy Lin,placed on IL,2.0,2010,post
113,2010-11-06,Heat,2010-11-13,Juwan Howard,placed on IL,7.0,2010,post
114,2010-11-06,Magic,2010-11-10,Jameer Nelson,placed on IL with sprained left ankle,4.0,2010,post
115,2010-11-06,Raptors,2010-11-08,Sonny Weems,placed on IL with ankle injury,2.0,2010,post
116,2010-11-06,Rockets,2010-11-10,Kyle Lowry,placed on IL with sore back,4.0,2010,post
117,2010-11-06,Rockets,2010-11-07,Yao Ming,placed on IL with foot injury / rest,1.0,2010,post
118,2010-11-07,76ers,2010-11-12,Andre Iguodala,placed on IL with right Achilles tendon injury,5.0,2010,post
119,2010-11-07,Rockets,2010-12-19,Aaron Brooks,placed on IL with sprained left ankle,42.0,2010,post
120,2010-11-07,Thunder,2010-11-14,Jeff Green,placed on IL with sprained left ankle,7.0,2010,post
121,2010-11-07,Timberwolves,2010-11-09,Lazar Hayward,placed on IL,2.0,2010,post
122,2010-11-07,Warriors,2010-11-10,Jeff Adrien,placed on IL,3.0,2010,post
123,2010-11-08,Raptors,2010-11-10,Joey Dorsey,placed on IL,2.0,2010,post
124,2010-11-08,Spurs,season,Garrett Temple,placed on IL,100.0,2010,post
125,2010-11-09,Cavaliers,2010-11-13,Manny Harris,placed on IL,4.0,2010,post
126,2010-11-09,Clippers,2010-11-10,Eric Gordon,placed on IL with left shoulder injury,1.0,2010,post
127,2010-11-09,Lakers,2010-11-11,Derrick Caracter,placed on IL,2.0,2010,post
128,2010-11-09,Nets,2010-11-17,Terrence Williams,placed on IL with lower abdominal strain,8.0,2010,post
129,2010-11-09,Timberwolves,2010-11-17,Luke Ridnour,placed on IL with strained hamstring,8.0,2010,post
130,2010-11-10,Clippers,2010-12-01,Baron Davis,placed on IL with sore left knee,21.0,2010,post
131,2010-11-10,Kings,2010-11-21,Eugene Jeter / Pooh Jeter,placed on IL,11.0,2010,post
132,2010-11-10,Kings,season,Hassan Whiteside,placed on IL,100.0,2010,post
133,2010-11-10,Knicks,2010-11-16,Ronny Turiaf,placed on IL with sprained left knee,6.0,2010,post
134,2010-11-10,Magic,2010-11-15,Malik Allen,placed on IL,5.0,2010,post
135,2010-11-10,Mavericks,2010-11-17,Caron Butler,placed on IL with back spasms,7.0,2010,post
136,2010-11-10,Nets,2010-11-15,Stephen Graham,placed on IL,5.0,2010,post
137,2010-11-10,Nets,2010-11-13,Troy Murphy,placed on IL with sore right foot,3.0,2010,post
138,2010-11-10,Raptors,2010-11-21,Leandro Barbosa,placed on IL with strained left shoulder,11.0,2010,post
139,2010-11-10,Rockets,2010-11-12,Jermaine Taylor,placed on IL,2.0,2010,post
140,2010-11-10,Warriors,2010-11-11,Dan Gadzuric,placed on IL with back spasms,1.0,2010,post
141,2010-11-10,Wizards,season,Kevin Seraphin,placed on IL,100.0,2010,post
142,2010-11-10,Wizards,2010-11-16,Lester Hudson,placed on IL,6.0,2010,post
143,2010-11-11,Lakers,2010-11-14,Theo Ratliff,placed on IL with left knee tendinitis,3.0,2010,post
144,2010-11-12,76ers,2010-11-24,Craig Brackins,placed on IL,12.0,2010,post
145,2010-11-12,76ers,2010-11-16,Darius Songaila,placed on IL,4.0,2010,post
146,2010-11-12,Clippers,2010-12-02,Chris Kaman,placed on IL with knee injury (P),20.0,2010,post
147,2010-11-12,Hawks,2010-12-01,Etan Thomas,placed on IL,19.0,2010,post
149,2010-11-12,Raptors,2010-11-16,Linas Kleiza,placed on IL with right Achilles tendinitis,4.0,2010,post
150,2010-11-12,Rockets,season,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle),100.0,2010,post
151,2010-11-13,Cavaliers,2010-11-16,Anderson Varejao,placed on IL with bruised ribs,3.0,2010,post
152,2010-11-13,Cavaliers,2010-11-19,Maurice Williams / Mo Williams,placed on IL with strained left groin,6.0,2010,post
153,2010-11-13,Heat,2010-11-20,Jamaal Magloire,placed on IL,7.0,2010,post
154,2010-11-13,Hornets,2010-11-21,Marcus Thornton (T.),placed on IL,8.0,2010,post
155,2010-11-13,Nets,2010-11-17,Joe Smith (Leynard),placed on IL,4.0,2010,post
156,2010-11-13,Raptors,2010-12-01,Ed Davis (a),placed on IL,18.0,2010,post
157,2010-11-13,Spurs,2011-01-19,James Anderson,placed on IL with stress fracture in right foot,67.0,2010,post
158,2010-11-14,Lakers,2010-11-16,Steve Blake,placed on IL with stomach ache,2.0,2010,post
159,2010-11-14,Pistons,2010-12-07,DaJuan Summers,placed on IL,23.0,2010,post
160,2010-11-14,Thunder,2010-11-17,Byron Mullens / B.J. Mullens,placed on IL,3.0,2010,post
161,2010-11-14,Thunder,2010-11-19,Daequan Cook,placed on IL,5.0,2010,post
162,2010-11-15,Bobcats,2010-12-14,Gerald Henderson (b),placed on IL with sore left knee,29.0,2010,post
163,2010-11-15,Magic,2010-11-20,J.J. Redick,placed on IL with back spasms,5.0,2010,post
164,2010-11-15,Nets,2010-11-23,Damion James,placed on IL,8.0,2010,post
165,2010-11-15,Suns,2010-12-15,Robin Lopez,placed on IL with sprained ligaments in left knee,30.0,2010,post
166,2010-11-15,Thunder,2010-11-22,Jeff Green,placed on IL with sprained left ankle,7.0,2010,post
167,2010-11-16,76ers,2010-11-23,Andre Iguodala,placed on IL with right Achilles tendon injury,7.0,2010,post
168,2010-11-16,Cavaliers,2010-12-04,Samardo Samuels,placed on IL,18.0,2010,post
169,2010-11-16,Knicks,2010-11-28,Shawne Williams,placed on IL,12.0,2010,post
171,2010-11-16,Pacers,2010-11-22,Darren Collison,placed on IL with sprained left ankle,6.0,2010,post
172,2010-11-16,Pacers,2010-11-18,Tyler Hansbrough,placed on IL with sprained left ankle,2.0,2010,post
173,2010-11-16,Raptors,2010-12-11,Solomon Alabi,placed on IL,25.0,2010,post
174,2010-11-16,Wizards,2010-11-21,John Wall (a),placed on IL with sprained left foot,5.0,2010,post
175,2010-11-16,Wizards,2010-12-03,Yi Jianlian / Jianlian Yi,placed on IL with bruised right knee,17.0,2010,post
176,2010-11-17,Celtics,2010-12-25,Jermaine O'Neal,placed on IL,38.0,2010,post
177,2010-11-17,Mavericks,2010-12-01,Steve Novak,placed on IL,14.0,2010,post
178,2010-11-17,Nets,2010-11-19,Ben Uzoh,placed on IL,2.0,2010,post
179,2010-11-17,Nets,2010-11-28,Troy Murphy,placed on IL with sore right foot,11.0,2010,post
180,2010-11-17,Thunder,2010-12-17,Cole Aldrich,placed on IL,30.0,2010,post
181,2010-11-17,Timberwolves,2010-12-04,Nikola Pekovic,placed on IL with sprained left ankle,17.0,2010,post
182,2010-11-19,Bobcats,2010-12-11,Eduardo Najera,placed on IL,22.0,2010,post
183,2010-11-19,Cavaliers,2010-12-04,Manny Harris,placed on IL,15.0,2010,post
184,2010-11-19,Nets,2010-11-20,Terrence Williams,placed on IL,1.0,2010,post
185,2010-11-19,Thunder,2010-11-22,Kevin Durant,placed on IL with sprained left ankle,3.0,2010,post
186,2010-11-20,Bobcats,2010-11-23,Kwame Brown,placed on IL,3.0,2010,post
187,2010-11-20,Heat,2010-11-22,Dwyane Wade,placed on IL with sprained left wrist,2.0,2010,post
188,2010-11-20,Magic,2010-11-24,Malik Allen,placed on IL,4.0,2010,post
189,2010-11-20,Nets,2010-12-01,Quinton Ross,placed on IL with calf injury,11.0,2010,post
190,2010-11-20,Pacers,2010-11-22,Dahntay Jones,placed on IL,2.0,2010,post
191,2010-11-21,Celtics,2010-11-26,Rajon Rondo,placed on IL with strained left hamstring,5.0,2010,post
192,2010-11-21,Kings,2010-11-25,Antoine Wright,placed on IL,4.0,2010,post
193,2010-11-21,Wizards,2010-11-25,Hamady Ndiaye / Hamady N'Diaye,placed on IL,4.0,2010,post
194,2010-11-22,Heat,2011-05-09,Udonis Haslem,placed on IL with torn ligament in left foot (out for season),168.0,2010,post
195,2010-11-22,Hornets,2010-11-29,David Andersen,placed on IL,7.0,2010,post
196,2010-11-22,Hornets,season,Marcus Banks,placed on IL,100.0,2010,post
197,2010-11-22,Nuggets,2010-11-28,Chauncey Billups,placed on IL with broken nose and sprained right wrist,6.0,2010,post
198,2010-11-22,Pacers,2010-12-03,A.J. Price,placed on IL,11.0,2010,post
199,2010-11-22,Pacers,2010-11-23,Jeff Foster,placed on IL,1.0,2010,post
200,2010-11-22,Thunder,2011-01-22,Daequan Cook,placed on IL,61.0,2010,post
201,2010-11-22,Thunder,2010-11-24,Morris Peterson,placed on IL,2.0,2010,post
202,2010-11-23,Bobcats,season,DeSagana Diop,placed on IL,100.0,2010,post
203,2010-11-23,Pacers,2010-11-28,Dahntay Jones,placed on IL,5.0,2010,post
204,2010-11-24,76ers,2010-11-27,Darius Songaila,placed on IL,3.0,2010,post
205,2010-11-24,Hornets,season,Pops Mensah-Bonsu,placed on IL,100.0,2010,post
206,2010-11-24,Magic,2010-11-30,Vince Carter,placed on IL with sprained left knee,6.0,2010,post
207,2010-11-24,Thunder,2010-11-26,Byron Mullens / B.J. Mullens,placed on IL,2.0,2010,post
209,2010-11-25,Wizards,2010-12-01,Al Thornton,placed on IL with sprained left ankle,6.0,2010,post
210,2010-11-26,Bulls,2010-11-27,Derrick Rose,placed on IL with sore neck,1.0,2010,post
211,2010-11-26,Celtics,2011-02-21,Delonte West,placed on IL withi broken right wrist,87.0,2010,post
213,2010-11-26,Thunder,2010-11-29,Nenad Krstic,placed on IL with back spasms,3.0,2010,post
214,2010-11-26,Mavericks,2010-11-27,Brendan Haywood,placed on IL for suspension,1.0,2010,post
215,2010-11-27,76ers,2010-12-22,Craig Brackins,placed on IL,25.0,2010,post
216,2010-11-27,Bucks,2010-12-20,Carlos Delfino,placed on IL witih strained neck,23.0,2010,post
217,2010-11-27,Bulls,2010-12-21,John Lucas III,placed on IL,24.0,2010,post
218,2010-11-27,Mavericks,2010-12-07,Alexis Ajinca / Alex Ajinca,placed on IL,10.0,2010,post
219,2010-11-27,Warriors,2010-12-25,Brandan Wright,placed on IL with strained lower back,28.0,2010,post
220,2010-11-28,Knicks,2010-12-06,Ronny Turiaf,placed on IL with sore left knee,8.0,2010,post
221,2010-11-28,Nets,2010-12-09,Joe Smith (Leynard),placed on IL,11.0,2010,post
222,2010-11-28,Nuggets,2010-12-03,Renaldo Balkman,placed on IL,5.0,2010,post
223,2010-11-28,Pacers,2010-12-13,Paul George,placed on IL,15.0,2010,post
224,2010-11-29,Hornets,2010-12-05,Aaron Gray,placed on IL,6.0,2010,post
225,2010-11-29,Thunder,2010-12-01,Byron Mullens / B.J. Mullens,placed on IL,2.0,2010,post
226,2010-11-30,Grizzlies,2010-12-03,Darrell Arthur,placed on IL with strained left groin,3.0,2010,post
227,2010-11-30,Magic,2010-12-01,Malik Allen,placed on IL,1.0,2010,post
228,2010-12-01,Bulls,2010-12-03,Brian Scalabrine,placed on IL,2.0,2010,post
229,2010-12-01,Clippers,2010-12-15,Randy Foye,placed on IL with strained left hamstring,14.0,2010,post
230,2010-12-01,Hawks,2010-12-17,Joe Johnson,placed on IL with loose particle in right elbow,16.0,2010,post
231,2010-12-01,Magic,2010-12-03,J.J. Redick,placed on IL with stomach virus,2.0,2010,post
232,2010-12-01,Mavericks,2011-01-02,Dominique Jones,placed on IL,32.0,2010,post
233,2010-12-01,Nets,2010-12-05,Devin Harris,placed on IL with sprained left knee,4.0,2010,post
235,2010-12-01,Thunder,2010-12-05,Kevin Durant,placed on IL with sprained left knee,4.0,2010,post
236,2010-12-01,Wizards,2010-12-14,Hamady Ndiaye / Hamady N'Diaye,placed on IL,13.0,2010,post
237,2010-12-03,76ers,2010-12-09,Darius Songaila,placed on IL,6.0,2010,post
238,2010-12-03,Blazers,2010-12-18,Luke Babbitt,placed on IL,15.0,2010,post
239,2010-12-03,Bobcats,2010-12-11,DeSagana Diop,placed on IL (P),8.0,2010,post
240,2010-12-03,Bulls,2010-12-04,Kurt Thomas,placed on IL,1.0,2010,post
241,2010-12-03,Clippers,2010-12-06,Willie Warren,placed on IL,3.0,2010,post
242,2010-12-03,Grizzlies,2010-12-05,DeMarre Carroll,placed on IL,2.0,2010,post
244,2010-12-03,Nuggets,2010-12-05,Melvin Ely,placed on IL,2.0,2010,post
245,2010-12-03,Pacers,2010-12-08,Jeff Foster,placed on IL,5.0,2010,post
246,2010-12-03,Wizards,2010-12-05,Nick Young,placed on IL with bruised left thigh,2.0,2010,post
247,2010-12-04,Bucks,2010-12-06,Drew Gooden,placed on IL with left foot injury,2.0,2010,post
248,2010-12-04,Bulls,2010-12-06,Brian Scalabrine,placed on IL,2.0,2010,post
251,2010-12-04,Timberwolves,2011-01-07,Anthony Tolliver,placed on IL with sprained MCL in right knee,34.0,2010,post
252,2010-12-05,Cavaliers,2010-12-08,Manny Harris,placed on IL,3.0,2010,post
253,2010-12-05,Cavaliers,2010-12-17,Samardo Samuels,placed on IL,12.0,2010,post
255,2010-12-05,Nets,2010-12-07,Ben Uzoh,placed on IL,2.0,2010,post
256,2010-12-05,Nuggets,2010-12-22,Chris Andersen,placed on IL with fracture in lower back,17.0,2010,post
257,2010-12-05,Thunder,2010-12-11,Morris Peterson,placed on IL,6.0,2010,post
258,2010-12-05,Wizards,2010-12-07,Kevin Seraphin,placed on IL (P),2.0,2010,post
259,2010-12-06,Bucks,2010-12-08,Brian Skinner,placed on IL,2.0,2010,post
260,2010-12-06,Bulls,2010-12-08,Kurt Thomas,placed on IL,2.0,2010,post
261,2010-12-06,Clippers,2011-02-16,Chris Kaman,placed on IL with sprained left ankle,72.0,2010,post
262,2010-12-06,Hawks,2010-12-11,Jordan Crawford,placed on IL,5.0,2010,post
263,2010-12-06,Knicks,2010-12-08,Bill Walker,placed on IL,2.0,2010,post
264,2010-12-06,Magic,2010-12-23,Ryan Anderson,placed on IL,17.0,2010,post
266,2010-12-07,Nets,2010-12-12,Stephen Graham,placed on IL,5.0,2010,post
267,2010-12-07,Warriors,2010-12-18,Rodney Carney,placed on IL with sprained left ankle,11.0,2010,post
268,2010-12-07,Wizards,2010-12-10,Andray Blatche,placed on IL with bruised hip,3.0,2010,post
269,2010-12-08,Bucks,2010-12-13,Drew Gooden,placed on IL,5.0,2010,post
270,2010-12-08,Bulls,2010-12-11,Brian Scalabrine,placed on IL,3.0,2010,post
271,2010-12-08,Cavaliers,2010-12-17,Jamario Moon,placed on IL,9.0,2010,post
272,2010-12-08,Hornets,2010-12-13,Aaron Gray,placed on IL,5.0,2010,post
273,2010-12-08,Knicks,2011-01-04,Andy Rautins,placed on IL,27.0,2010,post
274,2010-12-08,Pacers,2010-12-11,Dahntay Jones,placed on IL,3.0,2010,post
275,2010-12-08,Pistons,2010-12-17,DaJuan Summers,placed on IL,9.0,2010,post
276,2010-12-09,76ers,2010-12-29,Jason Kapono,placed on IL with calf injury,20.0,2010,post
277,2010-12-09,Mavericks,season,Alexis Ajinca / Alex Ajinca,placed on IL,100.0,2010,post
278,2010-12-09,Nets,2010-12-14,Ben Uzoh,placed on IL,5.0,2010,post
279,2010-12-09,Nets,2010-12-12,Derrick Favors,placed on IL with bruised thigh,3.0,2010,post
280,2010-12-11,Bobcats,2010-12-21,Sherron Collins,placed on IL,10.0,2010,post
281,2010-12-11,Bobcats,2010-12-14,Tyrus Thomas,placed on IL,3.0,2010,post
282,2010-12-11,Bulls,season,Kurt Thomas,placed on IL,100.0,2010,post
284,2010-12-11,Pacers,season,Jeff Foster,placed on IL,100.0,2010,post
285,2010-12-11,Raptors,2010-12-17,Jose Calderon,placed on IL with left foot injury,6.0,2010,post
286,2010-12-11,Thunder,2010-12-12,Byron Mullens / B.J. Mullens,placed on IL,1.0,2010,post
287,2010-12-11,Warriors,2010-12-25,Stephen Curry,placed on IL with sprained left ankle (P),14.0,2010,post
288,2010-12-11,Wizards,2010-12-14,Kevin Seraphin,placed on IL,3.0,2010,post
289,2010-12-12,Nets,2011-02-25,Damion James,placed on IL with broken right foot,75.0,2010,post
290,2010-12-12,Nets,2010-12-16,Troy Murphy,placed on IL,4.0,2010,post
291,2010-12-12,Thunder,2010-12-25,Nenad Krstic,placed on IL with sprained lower back,13.0,2010,post
292,2010-12-13,Bucks,2010-12-20,Brian Skinner,placed on IL,7.0,2010,post
293,2010-12-13,Grizzlies,2011-01-07,DeMarre Carroll,placed on IL,25.0,2010,post
294,2010-12-13,Hornets,2010-12-15,Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL,2.0,2010,post
295,2010-12-13,Mavericks,2010-12-21,Alexis Ajinca / Alex Ajinca,placed on IL (P),8.0,2010,post
296,2010-12-13,Pacers,2010-12-19,A.J. Price,placed on IL,6.0,2010,post
297,2010-12-13,Pacers,2010-12-15,Danny Granger,placed on IL with sprained left ankle,2.0,2010,post
298,2010-12-14,Bobcats,2010-12-15,DeSagana Diop,placed on IL,1.0,2010,post
299,2010-12-14,Bobcats,2010-12-27,Eduardo Najera,placed on IL,13.0,2010,post
300,2010-12-14,Lakers,2010-12-15,Devin Ebanks,placed on IL,1.0,2010,post
301,2010-12-14,Nets,2010-12-19,Terrence Williams,placed on IL,5.0,2010,post
302,2010-12-14,Timberwolves,2010-12-17,Kosta Koufos,placed on IL,3.0,2010,post
303,2010-12-14,Timberwolves,2010-12-18,Sundiata Gaines,placed on IL,4.0,2010,post
304,2010-12-14,Wizards,2010-12-18,Andray Blatche,placed on IL with sore left knee,4.0,2010,post
305,2010-12-14,Wizards,season,John Wall (a),placed on IL with right knee tendinitis (P) / sore left foot (CBC),100.0,2010,post
306,2010-12-15,Bobcats,2010-12-29,Gerald Wallace,placed on IL with sprained left ankle,14.0,2010,post
307,2010-12-15,Bulls,2010-12-18,Kurt Thomas,placed on IL (P),3.0,2010,post
308,2010-12-15,Clippers,2010-12-18,Willie Warren,placed on IL,3.0,2010,post
309,2010-12-15,Hornets,2010-12-20,Aaron Gray,placed on IL,5.0,2010,post
310,2010-12-15,Suns,2010-12-23,Garret Siler,placed on IL,8.0,2010,post
311,2010-12-15,Lakers,2010-12-17,Joe Smith (Leynard),placed on IL,2.0,2010,post
312,2010-12-16,Hawks,2010-12-26,Jamal Crawford,placed on IL with sore back,10.0,2010,post
313,2010-12-16,Nets,2010-12-17,Sasha Vujacic,placed on IL,1.0,2010,post
314,2010-12-16,Wizards,2010-12-31,Yi Jianlian / Jianlian Yi,placed on IL with sprained right knee,15.0,2010,post
315,2010-12-17,Cavaliers,2011-01-14,Joey Graham,placed on IL with partially torn right quadriceps,28.0,2010,post
316,2010-12-17,Cavaliers,2010-12-22,Leon Powe,placed on IL with finger injury,5.0,2010,post
317,2010-12-17,Hawks,2010-12-22,Jordan Crawford,placed on IL,5.0,2010,post
318,2010-12-17,Jazz,2010-12-18,Jeremy Evans,placed on IL,1.0,2010,post
319,2010-12-17,Lakers,2010-12-19,Devin Ebanks,placed on IL,2.0,2010,post
