,Date,Team,Acquired,Relinquished,Notes
91,2019-10-30,Clippers,Rodney McGruder,,activated from IL
92,2019-10-30,Pacers,,Edmond Sumner,placed on IL with fractured right hand
93,2019-10-30,Pacers,Jeremy Lamb,,activated from IL
94,2019-10-30,Thunder,,Steven Adams,placed on IL with bruised left knee
95,2019-10-30,Warriors,,Jacob Evans,placed on IL with strained left adductor
96,2019-10-30,Warriors,Alec Burks,,activated from IL
97,2019-10-30,Warriors,Willie Cauley-Stein,,activated from IL
98,2019-10-31,Cavaliers,,Matthew Dellavedova,placed on IL for personal reasons (birth of child)
99,2019-10-31,Clippers,Kawhi Leonard,,activated from IL
100,2019-10-31,Hawks,,Trae Young,placed on IL with sprained right ankle
101,2019-10-31,Heat,,K.Z. Okpala,placed on IL with left Achilles injury
102,2019-10-31,Heat,James Johnson,,activated from IL
103,2019-10-31,Nuggets,,Will Barton,placed on IL with toe injury
104,2019-10-31,Pelicans,Jrue Holiday,,activated from IL
105,2019-11-01,Bucks,,Kyle Korver,placed on IL
106,2019-11-01,Celtics,,Robert Williams III,placed on IL with sore left hip
107,2019-11-01,Knicks,Kadeem Allen,,activated from IL
108,2019-11-01,Lakers,Kyle Kuzma,,activated from IL
109,2019-11-01,Magic,,Michael Carter-Williams,placed on IL with bruised left hip
110,2019-11-01,Pacers,,Myles Turner,placed on IL with sprained right ankle
111,2019-11-01,Warriors,,Stephen Curry,placed on IL with fractured left hand
112,2019-11-02,Bucks,Kyle Korver,,activated from IL
113,2019-11-02,Jazz,,Ed Davis (Adam),placed on IL with fractured fibula in left leg
114,2019-11-02,Magic,,Melvin Frazier Jr.,placed on IL with bruised left shoulder
115,2019-11-02,Pistons,,Tim Frazier,placed on IL with strained right shoulder
116,2019-11-02,Pistons,Jordan Bone,,activated from IL
117,2019-11-02,Wizards,,Jordan McRae,placed on IL with fractured finger
118,2019-11-03,Bulls,Chandler Hutchison,,activated from IL
119,2019-11-03,Heat,Dion Waiters,,activated from IL
120,2019-11-03,Jazz,,Emmanuel Mudiay,placed on IL with left hamstring injury
121,2019-11-03,Mavericks,,Maximilian Kleber / Maxi Kleber,placed on IL with bruised right knee
122,2019-11-03,Mavericks,Ryan Broekhoff,,activated from IL
