,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
1845,Denver Nuggets,2020,14,"Tue, Jan 19, 2021",,Oklahoma City Thunder,
1846,Denver Nuggets,2020,15,"Fri, Jan 22, 2021",@,Phoenix Suns,OT
1847,Denver Nuggets,2020,16,"Sat, Jan 23, 2021",@,Phoenix Suns,2OT
1848,Denver Nuggets,2020,17,"Mon, Jan 25, 2021",@,Dallas Mavericks,
1849,Denver Nuggets,2020,18,"Wed, Jan 27, 2021",@,Miami Heat,
1850,Denver Nuggets,2020,19,"Fri, Jan 29, 2021",@,San Antonio Spurs,
1851,Denver Nuggets,2020,20,"Sun, Jan 31, 2021",,Utah Jazz,
1852,Denver Nuggets,2020,21,"Thu, Feb 4, 2021",@,Los Angeles Lakers,
1853,Denver Nuggets,2020,22,"Sat, Feb 6, 2021",@,Sacramento Kings,
1854,Denver Nuggets,2020,23,"Mon, Feb 8, 2021",,Milwaukee Bucks,
1855,Denver Nuggets,2020,24,"Wed, Feb 10, 2021",,Cleveland Cavaliers,
1856,Denver Nuggets,2020,25,"Fri, Feb 12, 2021",,Oklahoma City Thunder,
1857,Denver Nuggets,2020,26,"Sun, Feb 14, 2021",,Los Angeles Lakers,
1858,Denver Nuggets,2020,27,"Tue, Feb 16, 2021",@,Boston Celtics,
1859,Denver Nuggets,2020,28,"Wed, Feb 17, 2021",@,Washington Wizards,
1860,Denver Nuggets,2020,29,"Fri, Feb 19, 2021",@,Cleveland Cavaliers,
1861,Denver Nuggets,2020,30,"Sun, Feb 21, 2021",@,Atlanta Hawks,
1862,Denver Nuggets,2020,31,"Tue, Feb 23, 2021",,Portland Trail Blazers,
1863,Denver Nuggets,2020,32,"Thu, Feb 25, 2021",,Washington Wizards,
1864,Denver Nuggets,2020,33,"Sat, Feb 27, 2021",@,Oklahoma City Thunder,
1865,Denver Nuggets,2020,34,"Mon, Mar 1, 2021",@,Chicago Bulls,
1866,Denver Nuggets,2020,35,"Tue, Mar 2, 2021",@,Milwaukee Bucks,
1867,Denver Nuggets,2020,36,"Thu, Mar 4, 2021",@,Indiana Pacers,
1868,Denver Nuggets,2020,37,"Fri, Mar 12, 2021",@,Memphis Grizzlies,
1869,Denver Nuggets,2020,38,"Sat, Mar 13, 2021",,Dallas Mavericks,
1870,Denver Nuggets,2020,39,"Mon, Mar 15, 2021",,Indiana Pacers,
1871,Denver Nuggets,2020,40,"Wed, Mar 17, 2021",,Charlotte Hornets,
1872,Denver Nuggets,2020,41,"Fri, Mar 19, 2021",,Chicago Bulls,OT
1873,Denver Nuggets,2020,42,"Sun, Mar 21, 2021",,New Orleans Pelicans,
1874,Denver Nuggets,2020,43,"Tue, Mar 23, 2021",@,Orlando Magic,
1875,Denver Nuggets,2020,44,"Wed, Mar 24, 2021",@,Toronto Raptors,
1876,Denver Nuggets,2020,45,"Fri, Mar 26, 2021",@,New Orleans Pelicans,
1877,Denver Nuggets,2020,46,"Sun, Mar 28, 2021",,Atlanta Hawks,
1878,Denver Nuggets,2020,47,"Tue, Mar 30, 2021",,Philadelphia 76ers,
1879,Denver Nuggets,2020,48,"Thu, Apr 1, 2021",@,Los Angeles Clippers,
1880,Denver Nuggets,2020,49,"Sun, Apr 4, 2021",,Orlando Magic,
1881,Denver Nuggets,2020,50,"Tue, Apr 6, 2021",,Detroit Pistons,
1882,Denver Nuggets,2020,51,"Wed, Apr 7, 2021",,San Antonio Spurs,
1883,Denver Nuggets,2020,52,"Fri, Apr 9, 2021",,San Antonio Spurs,
1884,Denver Nuggets,2020,53,"Sun, Apr 11, 2021",,Boston Celtics,
1885,Denver Nuggets,2020,54,"Mon, Apr 12, 2021",@,Golden State Warriors,
1886,Denver Nuggets,2020,55,"Wed, Apr 14, 2021",,Miami Heat,
1887,Denver Nuggets,2020,56,"Fri, Apr 16, 2021",@,Houston Rockets,
1888,Denver Nuggets,2020,57,"Mon, Apr 19, 2021",,Memphis Grizzlies,2OT
1889,Denver Nuggets,2020,58,"Wed, Apr 21, 2021",@,Portland Trail Blazers,
1890,Denver Nuggets,2020,59,"Fri, Apr 23, 2021",@,Golden State Warriors,
1891,Denver Nuggets,2020,60,"Sat, Apr 24, 2021",,Houston Rockets,
1892,Denver Nuggets,2020,61,"Mon, Apr 26, 2021",,Memphis Grizzlies,
1893,Denver Nuggets,2020,62,"Wed, Apr 28, 2021",,New Orleans Pelicans,
1894,Denver Nuggets,2020,63,"Thu, Apr 29, 2021",,Toronto Raptors,
1895,Denver Nuggets,2020,64,"Sat, May 1, 2021",@,Los Angeles Clippers,
1896,Denver Nuggets,2020,65,"Mon, May 3, 2021",@,Los Angeles Lakers,
1897,Denver Nuggets,2020,66,"Wed, May 5, 2021",,New York Knicks,
1898,Denver Nuggets,2020,67,"Fri, May 7, 2021",@,Utah Jazz,
1899,Denver Nuggets,2020,68,"Sat, May 8, 2021",,Brooklyn Nets,
1900,Denver Nuggets,2020,69,"Tue, May 11, 2021",@,Charlotte Hornets,
1901,Denver Nuggets,2020,70,"Thu, May 13, 2021",@,Minnesota Timberwolves,
1902,Denver Nuggets,2020,71,"Fri, May 14, 2021",@,Detroit Pistons,
1903,Denver Nuggets,2020,72,"Sun, May 16, 2021",@,Portland Trail Blazers,
1904,Denver Nuggets,2020,73,"Sat, May 22, 2021",,Portland Trail Blazers,
1905,Denver Nuggets,2020,74,"Mon, May 24, 2021",,Portland Trail Blazers,
1906,Denver Nuggets,2020,75,"Thu, May 27, 2021",@,Portland Trail Blazers,
1907,Denver Nuggets,2020,76,"Sat, May 29, 2021",@,Portland Trail Blazers,
1908,Denver Nuggets,2020,77,"Tue, Jun 1, 2021",,Portland Trail Blazers,2OT
1909,Denver Nuggets,2020,78,"Thu, Jun 3, 2021",@,Portland Trail Blazers,
1910,Denver Nuggets,2020,79,"Mon, Jun 7, 2021",@,Phoenix Suns,
1911,Denver Nuggets,2020,80,"Wed, Jun 9, 2021",@,Phoenix Suns,
1912,Denver Nuggets,2020,81,"Fri, Jun 11, 2021",,Phoenix Suns,
1913,Denver Nuggets,2020,82,"Sun, Jun 13, 2021",,Phoenix Suns,
1914,Detroit Pistons,2018,1,"Wed, Oct 17, 2018",,Brooklyn Nets,
1915,Detroit Pistons,2018,2,"Sat, Oct 20, 2018",@,Chicago Bulls,
1916,Detroit Pistons,2018,3,"Tue, Oct 23, 2018",,Philadelphia 76ers,OT
1917,Detroit Pistons,2018,4,"Thu, Oct 25, 2018",,Cleveland Cavaliers,
1918,Detroit Pistons,2018,5,"Sat, Oct 27, 2018",,Boston Celtics,
1919,Detroit Pistons,2018,6,"Tue, Oct 30, 2018",@,Boston Celtics,
1920,Detroit Pistons,2018,7,"Wed, Oct 31, 2018",@,Brooklyn Nets,OT
1921,Detroit Pistons,2018,8,"Sat, Nov 3, 2018",@,Philadelphia 76ers,
1922,Detroit Pistons,2018,9,"Mon, Nov 5, 2018",,Miami Heat,OT
1923,Detroit Pistons,2018,10,"Wed, Nov 7, 2018",@,Orlando Magic,
1924,Detroit Pistons,2018,11,"Fri, Nov 9, 2018",@,Atlanta Hawks,
1925,Detroit Pistons,2018,12,"Sun, Nov 11, 2018",,Charlotte Hornets,
1926,Detroit Pistons,2018,13,"Wed, Nov 14, 2018",@,Toronto Raptors,
1927,Detroit Pistons,2018,14,"Mon, Nov 19, 2018",,Cleveland Cavaliers,
1928,Detroit Pistons,2018,15,"Wed, Nov 21, 2018",@,Houston Rockets,
1929,Detroit Pistons,2018,16,"Fri, Nov 23, 2018",,Houston Rockets,OT
1930,Detroit Pistons,2018,17,"Sun, Nov 25, 2018",,Phoenix Suns,
1931,Detroit Pistons,2018,18,"Tue, Nov 27, 2018",,New York Knicks,
1932,Detroit Pistons,2018,19,"Fri, Nov 30, 2018",,Chicago Bulls,
1933,Detroit Pistons,2018,20,"Sat, Dec 1, 2018",,Golden State Warriors,
1934,Detroit Pistons,2018,21,"Mon, Dec 3, 2018",,Oklahoma City Thunder,
1935,Detroit Pistons,2018,22,"Wed, Dec 5, 2018",@,Milwaukee Bucks,
1936,Detroit Pistons,2018,23,"Fri, Dec 7, 2018",,Philadelphia 76ers,
1937,Detroit Pistons,2018,24,"Sun, Dec 9, 2018",,New Orleans Pelicans,
1938,Detroit Pistons,2018,25,"Mon, Dec 10, 2018",@,Philadelphia 76ers,
1939,Detroit Pistons,2018,26,"Wed, Dec 12, 2018",@,Charlotte Hornets,
1940,Detroit Pistons,2018,27,"Sat, Dec 15, 2018",,Boston Celtics,
1941,Detroit Pistons,2018,28,"Mon, Dec 17, 2018",,Milwaukee Bucks,
1942,Detroit Pistons,2018,29,"Wed, Dec 19, 2018",@,Minnesota Timberwolves,OT
1943,Detroit Pistons,2018,30,"Fri, Dec 21, 2018",@,Charlotte Hornets,
1944,Detroit Pistons,2018,31,"Sun, Dec 23, 2018",,Atlanta Hawks,
1945,Detroit Pistons,2018,32,"Wed, Dec 26, 2018",,Washington Wizards,
1946,Detroit Pistons,2018,33,"Fri, Dec 28, 2018",@,Indiana Pacers,
1947,Detroit Pistons,2018,34,"Sun, Dec 30, 2018",@,Orlando Magic,
1948,Detroit Pistons,2018,35,"Tue, Jan 1, 2019",@,Milwaukee Bucks,
1949,Detroit Pistons,2018,36,"Wed, Jan 2, 2019",@,Memphis Grizzlies,
1950,Detroit Pistons,2018,37,"Sat, Jan 5, 2019",,Utah Jazz,
1951,Detroit Pistons,2018,38,"Mon, Jan 7, 2019",,San Antonio Spurs,
1952,Detroit Pistons,2018,39,"Wed, Jan 9, 2019",@,Los Angeles Lakers,
1953,Detroit Pistons,2018,40,"Thu, Jan 10, 2019",@,Sacramento Kings,
1954,Detroit Pistons,2018,41,"Sat, Jan 12, 2019",@,Los Angeles Clippers,
1955,Detroit Pistons,2018,42,"Mon, Jan 14, 2019",@,Utah Jazz,
1956,Detroit Pistons,2018,43,"Wed, Jan 16, 2019",,Orlando Magic,OT
1957,Detroit Pistons,2018,44,"Fri, Jan 18, 2019",,Miami Heat,
1958,Detroit Pistons,2018,45,"Sat, Jan 19, 2019",,Sacramento Kings,
1959,Detroit Pistons,2018,46,"Mon, Jan 21, 2019",@,Washington Wizards,
1960,Detroit Pistons,2018,47,"Wed, Jan 23, 2019",@,New Orleans Pelicans,
1961,Detroit Pistons,2018,48,"Fri, Jan 25, 2019",@,Dallas Mavericks,
1962,Detroit Pistons,2018,49,"Tue, Jan 29, 2019",,Milwaukee Bucks,
1963,Detroit Pistons,2018,50,"Thu, Jan 31, 2019",,Dallas Mavericks,
1964,Detroit Pistons,2018,51,"Sat, Feb 2, 2019",,Los Angeles Clippers,
1965,Detroit Pistons,2018,52,"Mon, Feb 4, 2019",,Denver Nuggets,
1966,Detroit Pistons,2018,53,"Tue, Feb 5, 2019",@,New York Knicks,
1967,Detroit Pistons,2018,54,"Fri, Feb 8, 2019",,New York Knicks,
1968,Detroit Pistons,2018,55,"Mon, Feb 11, 2019",,Washington Wizards,
1969,Detroit Pistons,2018,56,"Wed, Feb 13, 2019",@,Boston Celtics,
1970,Detroit Pistons,2018,57,"Fri, Feb 22, 2019",@,Atlanta Hawks,
1971,Detroit Pistons,2018,58,"Sat, Feb 23, 2019",@,Miami Heat,
1972,Detroit Pistons,2018,59,"Mon, Feb 25, 2019",,Indiana Pacers,
1973,Detroit Pistons,2018,60,"Wed, Feb 27, 2019",@,San Antonio Spurs,
1974,Detroit Pistons,2018,61,"Sat, Mar 2, 2019",@,Cleveland Cavaliers,
1975,Detroit Pistons,2018,62,"Sun, Mar 3, 2019",,Toronto Raptors,OT
1976,Detroit Pistons,2018,63,"Wed, Mar 6, 2019",,Minnesota Timberwolves,
1977,Detroit Pistons,2018,64,"Fri, Mar 8, 2019",@,Chicago Bulls,
1978,Detroit Pistons,2018,65,"Sun, Mar 10, 2019",,Chicago Bulls,
1979,Detroit Pistons,2018,66,"Mon, Mar 11, 2019",@,Brooklyn Nets,
1980,Detroit Pistons,2018,67,"Wed, Mar 13, 2019",@,Miami Heat,
1981,Detroit Pistons,2018,68,"Fri, Mar 15, 2019",,Los Angeles Lakers,
1982,Detroit Pistons,2018,69,"Sun, Mar 17, 2019",,Toronto Raptors,
1983,Detroit Pistons,2018,70,"Mon, Mar 18, 2019",@,Cleveland Cavaliers,
1984,Detroit Pistons,2018,71,"Thu, Mar 21, 2019",@,Phoenix Suns,
1985,Detroit Pistons,2018,72,"Sat, Mar 23, 2019",@,Portland Trail Blazers,
1986,Detroit Pistons,2018,73,"Sun, Mar 24, 2019",@,Golden State Warriors,
1987,Detroit Pistons,2018,74,"Tue, Mar 26, 2019",@,Denver Nuggets,
1988,Detroit Pistons,2018,75,"Thu, Mar 28, 2019",,Orlando Magic,
1989,Detroit Pistons,2018,76,"Sat, Mar 30, 2019",,Portland Trail Blazers,
1990,Detroit Pistons,2018,77,"Mon, Apr 1, 2019",@,Indiana Pacers,
1991,Detroit Pistons,2018,78,"Wed, Apr 3, 2019",,Indiana Pacers,
1992,Detroit Pistons,2018,79,"Fri, Apr 5, 2019",@,Oklahoma City Thunder,
1993,Detroit Pistons,2018,80,"Sun, Apr 7, 2019",,Charlotte Hornets,
1994,Detroit Pistons,2018,81,"Tue, Apr 9, 2019",,Memphis Grizzlies,
1995,Detroit Pistons,2018,82,"Wed, Apr 10, 2019",@,New York Knicks,
1996,Detroit Pistons,2018,83,"Sun, Apr 14, 2019",@,Milwaukee Bucks,
1997,Detroit Pistons,2018,84,"Wed, Apr 17, 2019",@,Milwaukee Bucks,
1998,Detroit Pistons,2018,85,"Sat, Apr 20, 2019",,Milwaukee Bucks,
1999,Detroit Pistons,2018,86,"Mon, Apr 22, 2019",,Milwaukee Bucks,
2000,Detroit Pistons,2019,1,"Wed, Oct 23, 2019",@,Indiana Pacers,
2001,Detroit Pistons,2019,2,"Thu, Oct 24, 2019",,Atlanta Hawks,
2002,Detroit Pistons,2019,3,"Sat, Oct 26, 2019",,Philadelphia 76ers,
2003,Detroit Pistons,2019,4,"Mon, Oct 28, 2019",,Indiana Pacers,
2004,Detroit Pistons,2019,5,"Wed, Oct 30, 2019",@,Toronto Raptors,
2005,Detroit Pistons,2019,6,"Fri, Nov 1, 2019",@,Chicago Bulls,
2006,Detroit Pistons,2019,7,"Sat, Nov 2, 2019",,Brooklyn Nets,
2007,Detroit Pistons,2019,8,"Mon, Nov 4, 2019",@,Washington Wizards,
2008,Detroit Pistons,2019,9,"Wed, Nov 6, 2019",,New York Knicks,
2009,Detroit Pistons,2019,10,"Fri, Nov 8, 2019",@,Indiana Pacers,
2010,Detroit Pistons,2019,11,"Mon, Nov 11, 2019",,Minnesota Timberwolves,
2011,Detroit Pistons,2019,12,"Tue, Nov 12, 2019",@,Miami Heat,
2012,Detroit Pistons,2019,13,"Fri, Nov 15, 2019",@,Charlotte Hornets,
2013,Detroit Pistons,2019,14,"Wed, Nov 20, 2019",@,Chicago Bulls,
2014,Detroit Pistons,2019,15,"Fri, Nov 22, 2019",,Atlanta Hawks,
2015,Detroit Pistons,2019,16,"Sat, Nov 23, 2019",@,Milwaukee Bucks,
2016,Detroit Pistons,2019,17,"Mon, Nov 25, 2019",,Orlando Magic,
2017,Detroit Pistons,2019,18,"Wed, Nov 27, 2019",@,Charlotte Hornets,
2018,Detroit Pistons,2019,19,"Fri, Nov 29, 2019",,Charlotte Hornets,
2019,Detroit Pistons,2019,20,"Sun, Dec 1, 2019",,San Antonio Spurs,
2020,Detroit Pistons,2019,21,"Tue, Dec 3, 2019",@,Cleveland Cavaliers,
2021,Detroit Pistons,2019,22,"Wed, Dec 4, 2019",,Milwaukee Bucks,
2022,Detroit Pistons,2019,23,"Fri, Dec 6, 2019",,Indiana Pacers,
2023,Detroit Pistons,2019,24,"Mon, Dec 9, 2019",@,New Orleans Pelicans,
2024,Detroit Pistons,2019,25,"Thu, Dec 12, 2019",,Dallas Mavericks,
2025,Detroit Pistons,2019,26,"Sat, Dec 14, 2019",@,Houston Rockets,
2026,Detroit Pistons,2019,27,"Mon, Dec 16, 2019",,Washington Wizards,
2027,Detroit Pistons,2019,28,"Wed, Dec 18, 2019",,Toronto Raptors,
2028,Detroit Pistons,2019,29,"Fri, Dec 20, 2019",@,Boston Celtics,
2029,Detroit Pistons,2019,30,"Sat, Dec 21, 2019",,Chicago Bulls,
2030,Detroit Pistons,2019,31,"Mon, Dec 23, 2019",,Philadelphia 76ers,
2031,Detroit Pistons,2019,32,"Thu, Dec 26, 2019",,Washington Wizards,
2032,Detroit Pistons,2019,33,"Sat, Dec 28, 2019",@,San Antonio Spurs,
2033,Detroit Pistons,2019,34,"Mon, Dec 30, 2019",@,Utah Jazz,
2034,Detroit Pistons,2019,35,"Thu, Jan 2, 2020",@,Los Angeles Clippers,
2035,Detroit Pistons,2019,36,"Sat, Jan 4, 2020",@,Golden State Warriors,
2036,Detroit Pistons,2019,37,"Sun, Jan 5, 2020",@,Los Angeles Lakers,
2037,Detroit Pistons,2019,38,"Tue, Jan 7, 2020",@,Cleveland Cavaliers,
2038,Detroit Pistons,2019,39,"Thu, Jan 9, 2020",,Cleveland Cavaliers,OT
2039,Detroit Pistons,2019,40,"Sat, Jan 11, 2020",,Chicago Bulls,
2040,Detroit Pistons,2019,41,"Mon, Jan 13, 2020",,New Orleans Pelicans,OT
2041,Detroit Pistons,2019,42,"Wed, Jan 15, 2020",@,Boston Celtics,
2042,Detroit Pistons,2019,43,"Sat, Jan 18, 2020",@,Atlanta Hawks,
2043,Detroit Pistons,2019,44,"Mon, Jan 20, 2020",@,Washington Wizards,
2044,Detroit Pistons,2019,45,"Wed, Jan 22, 2020",,Sacramento Kings,
2045,Detroit Pistons,2019,46,"Fri, Jan 24, 2020",,Memphis Grizzlies,
2046,Detroit Pistons,2019,47,"Sat, Jan 25, 2020",,Brooklyn Nets,OT
2047,Detroit Pistons,2019,48,"Mon, Jan 27, 2020",,Cleveland Cavaliers,
2048,Detroit Pistons,2019,49,"Wed, Jan 29, 2020",@,Brooklyn Nets,
2049,Detroit Pistons,2019,50,"Fri, Jan 31, 2020",,Toronto Raptors,
2050,Detroit Pistons,2019,51,"Sun, Feb 2, 2020",,Denver Nuggets,OT
2051,Detroit Pistons,2019,52,"Mon, Feb 3, 2020",@,Memphis Grizzlies,
2052,Detroit Pistons,2019,53,"Wed, Feb 5, 2020",,Phoenix Suns,
2053,Detroit Pistons,2019,54,"Fri, Feb 7, 2020",@,Oklahoma City Thunder,
2054,Detroit Pistons,2019,55,"Sat, Feb 8, 2020",,New York Knicks,
2055,Detroit Pistons,2019,56,"Mon, Feb 10, 2020",,Charlotte Hornets,
2056,Detroit Pistons,2019,57,"Wed, Feb 12, 2020",@,Orlando Magic,OT
2057,Detroit Pistons,2019,58,"Thu, Feb 20, 2020",,Milwaukee Bucks,
2058,Detroit Pistons,2019,59,"Sun, Feb 23, 2020",@,Portland Trail Blazers,
2059,Detroit Pistons,2019,60,"Tue, Feb 25, 2020",@,Denver Nuggets,
2060,Detroit Pistons,2019,61,"Fri, Feb 28, 2020",@,Phoenix Suns,
2061,Detroit Pistons,2019,62,"Sun, Mar 1, 2020",@,Sacramento Kings,
2062,Detroit Pistons,2019,63,"Wed, Mar 4, 2020",,Oklahoma City Thunder,
2063,Detroit Pistons,2019,64,"Sat, Mar 7, 2020",,Utah Jazz,
2064,Detroit Pistons,2019,65,"Sun, Mar 8, 2020",@,New York Knicks,
2065,Detroit Pistons,2019,66,"Wed, Mar 11, 2020",@,Philadelphia 76ers,
2066,Detroit Pistons,2020,1,"Wed, Dec 23, 2020",@,Minnesota Timberwolves,
2067,Detroit Pistons,2020,2,"Sat, Dec 26, 2020",,Cleveland Cavaliers,2OT
2068,Detroit Pistons,2020,3,"Mon, Dec 28, 2020",@,Atlanta Hawks,
2069,Detroit Pistons,2020,4,"Tue, Dec 29, 2020",,Golden State Warriors,
2070,Detroit Pistons,2020,5,"Fri, Jan 1, 2021",,Boston Celtics,
2071,Detroit Pistons,2020,6,"Sun, Jan 3, 2021",,Boston Celtics,
2072,Detroit Pistons,2020,7,"Mon, Jan 4, 2021",@,Milwaukee Bucks,
2073,Detroit Pistons,2020,8,"Wed, Jan 6, 2021",@,Milwaukee Bucks,
2074,Detroit Pistons,2020,9,"Fri, Jan 8, 2021",,Phoenix Suns,OT
2075,Detroit Pistons,2020,10,"Sun, Jan 10, 2021",,Utah Jazz,
2076,Detroit Pistons,2020,11,"Wed, Jan 13, 2021",,Milwaukee Bucks,
2077,Detroit Pistons,2020,12,"Sat, Jan 16, 2021",@,Miami Heat,
2078,Detroit Pistons,2020,13,"Mon, Jan 18, 2021",@,Miami Heat,
2079,Detroit Pistons,2020,14,"Wed, Jan 20, 2021",@,Atlanta Hawks,OT
2080,Detroit Pistons,2020,15,"Fri, Jan 22, 2021",,Houston Rockets,
2081,Detroit Pistons,2020,16,"Sat, Jan 23, 2021",,Philadelphia 76ers,
2082,Detroit Pistons,2020,17,"Mon, Jan 25, 2021",,Philadelphia 76ers,
2083,Detroit Pistons,2020,18,"Wed, Jan 27, 2021",@,Cleveland Cavaliers,
2084,Detroit Pistons,2020,19,"Thu, Jan 28, 2021",,Los Angeles Lakers,
2085,Detroit Pistons,2020,20,"Sat, Jan 30, 2021",@,Golden State Warriors,
2086,Detroit Pistons,2020,21,"Tue, Feb 2, 2021",@,Utah Jazz,
2087,Detroit Pistons,2020,22,"Fri, Feb 5, 2021",@,Phoenix Suns,
2088,Detroit Pistons,2020,23,"Sat, Feb 6, 2021",@,Los Angeles Lakers,2OT
2089,Detroit Pistons,2020,24,"Tue, Feb 9, 2021",,Brooklyn Nets,
2090,Detroit Pistons,2020,25,"Thu, Feb 11, 2021",,Indiana Pacers,
2091,Detroit Pistons,2020,26,"Fri, Feb 12, 2021",@,Boston Celtics,
2092,Detroit Pistons,2020,27,"Sun, Feb 14, 2021",,New Orleans Pelicans,
2093,Detroit Pistons,2020,28,"Wed, Feb 17, 2021",@,Chicago Bulls,
2094,Detroit Pistons,2020,29,"Fri, Feb 19, 2021",@,Memphis Grizzlies,
2095,Detroit Pistons,2020,30,"Sun, Feb 21, 2021",@,Orlando Magic,
2096,Detroit Pistons,2020,31,"Tue, Feb 23, 2021",@,Orlando Magic,
2097,Detroit Pistons,2020,32,"Wed, Feb 24, 2021",@,New Orleans Pelicans,
2098,Detroit Pistons,2020,33,"Fri, Feb 26, 2021",,Sacramento Kings,
2099,Detroit Pistons,2020,34,"Sun, Feb 28, 2021",,New York Knicks,
2100,Detroit Pistons,2020,35,"Wed, Mar 3, 2021",@,Toronto Raptors,
2101,Detroit Pistons,2020,36,"Thu, Mar 4, 2021",@,New York Knicks,
2102,Detroit Pistons,2020,37,"Thu, Mar 11, 2021",@,Charlotte Hornets,
2103,Detroit Pistons,2020,38,"Sat, Mar 13, 2021",@,Brooklyn Nets,
2104,Detroit Pistons,2020,39,"Mon, Mar 15, 2021",,San Antonio Spurs,
2105,Detroit Pistons,2020,40,"Wed, Mar 17, 2021",,Toronto Raptors,
2106,Detroit Pistons,2020,41,"Fri, Mar 19, 2021",@,Houston Rockets,
2107,Detroit Pistons,2020,42,"Sun, Mar 21, 2021",,Chicago Bulls,
2108,Detroit Pistons,2020,43,"Wed, Mar 24, 2021",@,Indiana Pacers,
2109,Detroit Pistons,2020,44,"Fri, Mar 26, 2021",,Brooklyn Nets,
2110,Detroit Pistons,2020,45,"Sat, Mar 27, 2021",@,Washington Wizards,
2111,Detroit Pistons,2020,46,"Mon, Mar 29, 2021",,Toronto Raptors,
2112,Detroit Pistons,2020,47,"Wed, Mar 31, 2021",,Portland Trail Blazers,
2113,Detroit Pistons,2020,48,"Thu, Apr 1, 2021",,Washington Wizards,
2114,Detroit Pistons,2020,49,"Sat, Apr 3, 2021",,New York Knicks,
2115,Detroit Pistons,2020,50,"Mon, Apr 5, 2021",@,Oklahoma City Thunder,
2116,Detroit Pistons,2020,51,"Tue, Apr 6, 2021",@,Denver Nuggets,
2117,Detroit Pistons,2020,52,"Thu, Apr 8, 2021",@,Sacramento Kings,
2118,Detroit Pistons,2020,53,"Sat, Apr 10, 2021",@,Portland Trail Blazers,
2119,Detroit Pistons,2020,54,"Sun, Apr 11, 2021",@,Los Angeles Clippers,
2120,Detroit Pistons,2020,55,"Wed, Apr 14, 2021",,Los Angeles Clippers,
2121,Detroit Pistons,2020,56,"Fri, Apr 16, 2021",,Oklahoma City Thunder,
2122,Detroit Pistons,2020,57,"Sat, Apr 17, 2021",@,Washington Wizards,
2123,Detroit Pistons,2020,58,"Mon, Apr 19, 2021",,Cleveland Cavaliers,
2124,Detroit Pistons,2020,59,"Wed, Apr 21, 2021",@,Dallas Mavericks,
2125,Detroit Pistons,2020,60,"Thu, Apr 22, 2021",@,San Antonio Spurs,
2126,Detroit Pistons,2020,61,"Sat, Apr 24, 2021",@,Indiana Pacers,
2127,Detroit Pistons,2020,62,"Mon, Apr 26, 2021",,Atlanta Hawks,
2128,Detroit Pistons,2020,63,"Thu, Apr 29, 2021",,Dallas Mavericks,
2129,Detroit Pistons,2020,64,"Sat, May 1, 2021",@,Charlotte Hornets,
2130,Detroit Pistons,2020,65,"Mon, May 3, 2021",,Orlando Magic,
2131,Detroit Pistons,2020,66,"Tue, May 4, 2021",,Charlotte Hornets,
2132,Detroit Pistons,2020,67,"Thu, May 6, 2021",,Memphis Grizzlies,
2133,Detroit Pistons,2020,68,"Sat, May 8, 2021",@,Philadelphia 76ers,
2134,Detroit Pistons,2020,69,"Sun, May 9, 2021",,Chicago Bulls,
2135,Detroit Pistons,2020,70,"Tue, May 11, 2021",,Minnesota Timberwolves,
2136,Detroit Pistons,2020,71,"Fri, May 14, 2021",,Denver Nuggets,
2137,Detroit Pistons,2020,72,"Sun, May 16, 2021",,Miami Heat,
2138,Golden State Warriors,2018,1,"Tue, Oct 16, 2018",,Oklahoma City Thunder,
2139,Golden State Warriors,2018,2,"Fri, Oct 19, 2018",@,Utah Jazz,
2140,Golden State Warriors,2018,3,"Sun, Oct 21, 2018",@,Denver Nuggets,
2141,Golden State Warriors,2018,4,"Mon, Oct 22, 2018",,Phoenix Suns,
2142,Golden State Warriors,2018,5,"Wed, Oct 24, 2018",,Washington Wizards,
2143,Golden State Warriors,2018,6,"Fri, Oct 26, 2018",@,New York Knicks,
2144,Golden State Warriors,2018,7,"Sun, Oct 28, 2018",@,Brooklyn Nets,
2145,Golden State Warriors,2018,8,"Mon, Oct 29, 2018",@,Chicago Bulls,
2146,Golden State Warriors,2018,9,"Wed, Oct 31, 2018",,New Orleans Pelicans,
2147,Golden State Warriors,2018,10,"Fri, Nov 2, 2018",,Minnesota Timberwolves,
2148,Golden State Warriors,2018,11,"Mon, Nov 5, 2018",,Memphis Grizzlies,
2149,Golden State Warriors,2018,12,"Thu, Nov 8, 2018",,Milwaukee Bucks,
2150,Golden State Warriors,2018,13,"Sat, Nov 10, 2018",,Brooklyn Nets,
2151,Golden State Warriors,2018,14,"Mon, Nov 12, 2018",@,Los Angeles Clippers,OT
2152,Golden State Warriors,2018,15,"Tue, Nov 13, 2018",,Atlanta Hawks,
2153,Golden State Warriors,2018,16,"Thu, Nov 15, 2018",@,Houston Rockets,
2154,Golden State Warriors,2018,17,"Sat, Nov 17, 2018",@,Dallas Mavericks,
2155,Golden State Warriors,2018,18,"Sun, Nov 18, 2018",@,San Antonio Spurs,
2156,Golden State Warriors,2018,19,"Wed, Nov 21, 2018",,Oklahoma City Thunder,
2157,Golden State Warriors,2018,20,"Fri, Nov 23, 2018",,Portland Trail Blazers,
2158,Golden State Warriors,2018,21,"Sat, Nov 24, 2018",,Sacramento Kings,
2159,Golden State Warriors,2018,22,"Mon, Nov 26, 2018",,Orlando Magic,
2160,Golden State Warriors,2018,23,"Thu, Nov 29, 2018",@,Toronto Raptors,OT
