,Date,Team,Acquired,Relinquished,Notes
473,2020-01-22,Nuggets,,Michael Porter Jr.,back injury (DTD)
474,2020-01-22,Pelicans,Derrick Favors,,returned to lineup
475,2020-01-22,Pelicans,Jahlil Okafor,,returned to lineup
476,2020-01-22,Pistons,,Andre Drummond,mouth injury (DTD)
477,2020-01-22,Thunder,Nerlens Noel,,returned to lineup
478,2020-01-22,Warriors,Draymond Green,,returned to lineup
479,2020-01-22,Warriors,Glenn Robinson III,,returned to lineup
480,2020-01-23,76ers,,Josh Richardson,strained left hamstring (out indefinitely)
481,2020-01-23,Cavaliers,Dean Wade,,returned to lineup
482,2020-01-23,Celtics,,Enes Kanter,bruised right hip (DTD)
483,2020-01-23,Pacers,,Malcolm Brogdon,concussion (DTD)
484,2020-01-23,Raptors,,Patrick McCaw,fractured nose (DTD)
485,2020-01-24,Celtics,,Jayson Tatum,strained right groin (DTD)
486,2020-01-24,Heat,,Goran Dragic,left calf injury (DTD)
487,2020-01-24,Heat,,Kendrick Nunn,left Achilles injury (DTD)
488,2020-01-24,Nuggets,Michael Porter Jr.,,returned to lineup
489,2020-01-24,Hawks,DeAndre' Bembry / DeAndre Bembry,,activated from IL
490,2020-01-25,Grizzlies,,Grayson Allen,left hip injury (out indefinitely)
491,2020-01-25,Hawks,,Alex Len,right hip flexor injury (DTD)
492,2020-01-25,Pistons,Andre Drummond,,returned to lineup
493,2020-01-26,Blazers,C.J. McCollum,,returned to lineup
494,2020-01-26,Nets,,Kyrie Irving,personal reasons (DTD)
495,2020-01-27,Heat,Goran Dragic,,returned to lineup
496,2020-01-27,Pistons,,Derrick Rose,sore right knee (DTD)
497,2020-01-27,Thunder,,Chris Paul,placed on IL for personal reasons
498,2020-01-27,Wizards,,Jordan McRae,sprained right ankle (DTD)
499,2020-01-28,Grizzlies,,De'Anthony Melton,sore left hand (DTD)
500,2020-01-28,Pelicans,,E'Twaun Moore,neck spasms (DTD)
501,2020-01-28,Thunder,Chris Paul,,activated from IL
502,2020-01-29,Knicks,,Frank Ntilikina,groin injury (DTD)
503,2020-01-29,Nets,Kyrie Irving,,returned to lineup
504,2020-01-29,Pistons,Derrick Rose,,returned to lineup
505,2020-01-30,Bucks,,George Hill,strained left hamstring (DTD)
506,2020-01-30,Celtics,Jayson Tatum,,returned to lineup
507,2020-01-30,Clippers,,Derrick Walton Jr.,right elbow injury (DTD)
508,2020-01-30,Clippers,,Kawhi Leonard,tightness in lower back (DTD)
509,2020-01-30,Nuggets,,Gary Harris,placed on IL for personal reasons
510,2020-01-30,Pelicans,E'Twaun Moore,,returned to lineup
511,2020-01-31,Blazers,,Carmelo Anthony,personal reasons (DTD)
512,2020-01-31,Bucks,,Frank Mason,strained abdominal (DTD)
513,2020-02-01,Blazers,Carmelo Anthony,,returned to lineup
514,2020-02-01,Clippers,Kawhi Leonard,,returned to lineup
515,2020-02-01,Hawks,,De'Andre Hunter,sprained left ankle (DTD)
516,2020-02-01,Hornets,,P.J. Washington,sprained right ankle (DTD)
517,2020-02-01,Nuggets,,Michael Porter Jr.,right ankle injury (DTD)
518,2020-02-01,Nuggets,Gary Harris,,activated from IL
519,2020-02-01,Raptors,,Norman Powell,fractured left hand (out indefinitely)
520,2020-02-01,Suns,,Dario Saric,sprained left ankle (DTD)
521,2020-02-02,Hawks,,Cameron Reddish / Cam Reddish,concussion (DTD)
522,2020-02-02,Mavericks,,Seth Curry,left knee injury (DTD)
523,2020-02-02,Nets,,Kyrie Irving,sprained right knee (DTD)
524,2020-02-02,Pacers,,T.J. Warren,concussion (DTD)
525,2020-02-02,Pistons,,Markieff Morris,right hip injury (DTD)
526,2020-02-02,Suns,,Ricky Rubio,sore right ankle (DTD)
527,2020-02-03,Pistons,,Sviatoslav Mykhailiuk / Svi Mykhailiuk,strained right hip (DTD)
528,2020-02-03,Suns,Ricky Rubio,,returned to lineup
529,2020-02-03,Warriors,,D'Angelo Russell,bruised right quadriceps (DTD)
530,2020-02-04,Celtics,,Daniel Theis,sprained right ankle (DTD)
531,2020-02-04,Heat,,Meyers Leonard,sprained left ankle (DTD)
532,2020-02-04,Heat,,Tyler Herro,sore right ankle (DTD)
533,2020-02-04,Pelicans,,Nickeil Alexander-Walker,illness (DTD)
534,2020-02-04,Warriors,D'Angelo Russell,,returned to lineup
535,2020-02-04,Bucks,Frank Mason,,returned to lineup
536,2020-02-05,Blazers,,Nassir Little,sprained left ankle (DTD)
537,2020-02-05,Heat,,Kyle Alexander,right knee injury (DTD)
538,2020-02-05,Nuggets,,Jerami Grant,sprained right ankle (DTD)
539,2020-02-05,Nuggets,,Will Barton,right knee inflammation (DTD)
540,2020-02-05,Pelicans,Nickeil Alexander-Walker,,returned to lineup
541,2020-02-05,Thunder,Terrance Ferguson,,activated from IL
542,2020-02-05,Wizards,,Thomas Bryant,sore right foot (DTD)
543,2020-02-06,76ers,,Kyle O'Quinn,placed on IL for personal reasons
544,2020-02-06,Bulls,,Denzel Valentine,left hamstring injury (DTD)
545,2020-02-07,Blazers,,Hassan Whiteside,bruised left leg (DTD)
546,2020-02-07,Clippers,,Patrick Beverley,right groin injury (DTD)
547,2020-02-07,Hawks,,Bruno Fernando,strained left calf (DTD)
548,2020-02-07,Hawks,,Trae Young,right ankle injury (DTD)
549,2020-02-07,Heat,,Jimmy Butler,strained right shoulder (DTD)
550,2020-02-07,Hornets,,Cody Martin,concussion (DTD)
551,2020-02-08,76ers,Kyle O'Quinn,,activated from IL
552,2020-02-08,Nuggets,Jerami Grant,,returned to lineup
553,2020-02-08,Pelicans,,Brandon Ingram,sprained right ankle (DTD)
554,2020-02-08,Pelicans,,Zion Williamson,sprained left ankle (DTD)
555,2020-02-08,Warriors,,Draymond Green,tightness in lower back (DTD)
556,2020-02-09,Hawks,Bruno Fernando,,returned to lineup
557,2020-02-09,Hawks,Trae Young,,returned to lineup
558,2020-02-10,Blazers,,Mario Hezonja,sprained left ankle (DTD)
559,2020-02-10,Bucks,,Giannis Antetokounmpo,placed on IL for personal reasons
560,2020-02-10,Spurs,,DeMar DeRozan,back spasms (DTD)
561,2020-02-10,Suns,,Deandre Ayton,sore left ankle (DTD)
562,2020-02-10,Thunder,,Darius Bazley,right knee injury (out indefinitely)
563,2020-02-10,Warriors,Draymond Green,,returned to lineup
564,2020-02-10,Suns,,Jared Harper,sprained right wrist (DTD)
565,2020-02-11,Blazers,,Anfernee Simons,concussion (DTD)
566,2020-02-11,Blazers,Anfernee Simons,,returned to lineup
567,2020-02-11,Blazers,Hassan Whiteside,,returned to lineup
568,2020-02-11,Bucks,,Kyle Korver,sore back (DTD)
569,2020-02-11,Pelicans,Zion Williamson,,returned to lineup
570,2020-02-11,Wizards,,Anzejs Pasecniks,left hip injury (DTD)
571,2020-02-12,Jazz,,Mike Conley Jr.,illness (DTD)
572,2020-02-12,Pistons,Sviatoslav Mykhailiuk / Svi Mykhailiuk,,returned to lineup
573,2020-02-12,Warriors,,Kevon Looney,left hip injury (DTD)
574,2020-02-12,Wizards,Anzejs Pasecniks,,returned to lineup
575,2020-02-13,Blazers,,Damian Lillard,strained right groin (DTD)
576,2020-02-18,Nets,,Kyrie Irving,right shoulder injury (out for season)
577,2020-02-20,Blazers,Nassir Little,,returned to lineup
578,2020-02-20,Bucks,Giannis Antetokounmpo,,activated from IL
579,2020-02-20,Bulls,,Chandler Hutchison,right shoulder injury (DTD)
580,2020-02-20,Cavaliers,,Alfonzo McKinnie,left foot injury (DTD)
581,2020-02-20,Celtics,,Kemba Walker,sore left knee (DTD)
582,2020-02-20,Nets,,Kyrie Irving,surgery on right shoulder (out for season)
583,2020-02-20,Pelicans,Brandon Ingram,,returned to lineup
584,2020-02-20,Warriors,Kevon Looney,,returned to lineup
585,2020-02-21,Clippers,,Paul George,strained left hamstring (DTD)
586,2020-02-21,Hawks,,De'Andre Hunter,personal reasons (DTD)
587,2020-02-21,Jazz,,Nigel Williams-Goss,left quadriceps injury (DTD)
588,2020-02-21,Nuggets,Will Barton,,returned to lineup
589,2020-02-21,Pacers,,Edmond Sumner,left hip injury (DTD)
590,2020-02-21,Suns,Deandre Ayton,,returned to lineup
591,2020-02-22,Bulls,,Luke Kornet,sprained left ankle (DTD)
592,2020-02-22,Cavaliers,,Kevin Love,sore right Achilles (DTD)
593,2020-02-22,Heat,,Jimmy Butler,personal reasons (DTD)
594,2020-02-22,Mavericks,,Willie Cauley-Stein,placed on IL for personal reasons
595,2020-02-22,Warriors,,Draymond Green,bruised pelvis (DTD)
596,2020-02-23,Bucks,,Brook Lopez,sore back (DTD)
597,2020-02-23,Grizzlies,,Jaren Jackson Jr.,sprained left knee (DTD)
598,2020-02-23,Timberwolves,,Allen Crabbe,placed on IL for personal reasons
599,2020-02-23,Warriors,,Marquese Chriss,left calf injury (DTD)
600,2020-02-24,Cavaliers,Kevin Love,,returned to lineup
601,2020-02-24,Hawks,De'Andre Hunter,,activated from IL
602,2020-02-24,Knicks,,Kenny Wooten,left thumb injury (out indefinitely)
603,2020-02-24,Pacers,,Jeremy Lamb,torn ACL in left knee (out for season)
604,2020-02-24,Rockets,,Russell Westbrook,left thumb injury (DTD)
605,2020-02-25,Grizzlies,,Brandon Clarke,right quadricep injury (DTD)
606,2020-02-25,Pistons,,Bruce Brown,sore left knee (DTD)
607,2020-02-25,Pistons,Khyri Thomas,,returned to lineup
608,2020-02-25,Suns,,Kelly Oubre Jr.,right knee injury (out for season)
609,2020-02-25,Warriors,Marquese Chriss,,returned to lineup
610,2020-02-25,Pacers,,Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,sprained right ankle (DTD)
611,2020-02-26,Heat,Jimmy Butler,,returned to lineup
612,2020-02-26,Lakers,,LeBron James,left groin injury (DTD)
613,2020-02-26,Nets,,Wilson Chandler,placed on IL for personal reasons
614,2020-02-26,Rockets,,Thabo Sefolosha,illness (DTD)
615,2020-02-26,Rockets,Russell Westbrook,,returned to lineup
616,2020-02-27,Bucks,,Khris Middleton,sore neck (DTD)
617,2020-02-27,Bulls,,Luke Kornet,fractured left foot (out indefinitely)
618,2020-02-27,Knicks,,Dennis Smith Jr.,concussion (DTD)
619,2020-02-27,Knicks,,Taj Gibson,back spasms (DTD)
620,2020-02-27,Nets,Wilson Chandler,,activated from IL
621,2020-02-27,Nuggets,,Noah Vonleh,right ankle injury (DTD)
622,2020-02-27,Raptors,,Fred VanVleet,left shoulder injury (DTD)
623,2020-02-27,Raptors,,Serge Ibaka,sore right knee (DTD)
624,2020-02-27,Rockets,Thabo Sefolosha,,returned to lineup
625,2020-02-27,Thunder,,Danilo Gallinari,sore left ankle (DTD)
626,2020-02-27,Warriors,,Andrew Wiggins,thoracic spasm (DTD)
627,2020-02-27,Warriors,Draymond Green,,returned to lineup
628,2020-02-27,Wizards,,Anzejs Pasecniks,illness (DTD)
629,2020-02-27,Heat,Kyle Alexander,,returned to lineup
630,2020-02-29,Knicks,Taj Gibson,,returned to lineup
631,2020-02-29,Warriors,,Draymond Green,sore left knee (DTD)
632,2020-02-29,Warriors,,Jordan Poole,sprained right ankle (DTD)
633,2020-02-29,Warriors,,Ky Bowman,sprained right ankle (DTD)
634,2020-02-29,Warriors,Andrew Wiggins,,returned to lineup
635,2020-02-29,Timberwolves,Allen Crabbe,,activated from IL
636,2020-03-01,Lakers,,Alex Caruso,right hamstring injury (DTD)
637,2020-03-01,Lakers,,Anthony Davis,sore right knee (DTD)
638,2020-03-01,Pelicans,,J.J. Redick,strained left hamstring (DTD)
639,2020-03-01,Pistons,,Thon Maker,sprained right ankle (DTD)
640,2020-03-01,Spurs,,Jakob Poeltl,sprained MCL in right knee (out indefinitely)
641,2020-03-01,Warriors,,Kevon Looney,sore left hip (out indefinitely)
642,2020-03-01,Warriors,Jordan Poole,,returned to lineup
643,2020-03-01,Warriors,,Alen Smailagic,bruised right quadriceps (DTD)
644,2020-03-02,76ers,,Josh Richardson,concussion (DTD)
645,2020-03-02,Cavaliers,,Andre Drummond,strained left calf (DTD)
646,2020-03-02,Hawks,,Cameron Reddish / Cam Reddish,sore lower back (DTD)
647,2020-03-02,Mavericks,Willie Cauley-Stein,,activated from IL
648,2020-03-03,Lakers,Anthony Davis,,returned to lineup
649,2020-03-03,Pistons,,Derrick Rose,sprained right ankle (out for season)
650,2020-03-03,Suns,,Kelly Oubre Jr.,surgery on right knee (out indefinitely)
651,2020-03-04,Pistons,Thon Maker,,returned to lineup
652,2020-03-04,Warriors,,Alen Smailagic,bruised right quadriceps (DTD)
653,2020-03-04,Wizards,,Ishmael Smith / Ish Smith,left hamstring injury (DTD)
654,2020-03-05,Suns,,Cameron Johnson,mononucleosis (out indefinitely)
655,2020-03-06,Bucks,,D.J. Wilson,sprained left ankle (DTD)
656,2020-03-06,Bulls,,Ryan Arcidiacono,sore right Achilles (out for season)
657,2020-03-06,Hawks,Cameron Reddish / Cam Reddish,,returned to lineup
658,2020-03-06,Pelicans,,Nickeil Alexander-Walker,fractured right wrist (out indefinitely)
659,2020-03-06,Rockets,,Eric Gordon,sore right knee (DTD)
660,2020-03-06,Suns,,Deandre Ayton,sprained left ankle (DTD)
661,2020-03-07,Cavaliers,,Dean Wade,sprained right ankle (DTD)
662,2020-03-07,Heat,,Jae Crowder,concussion (DTD)
663,2020-03-07,Mavericks,,Seth Curry,sprained left ankle (DTD)
664,2020-03-07,Hornets,,Kobi Simmons,sprained left ankle (DTD)
665,2020-03-08,Cavaliers,Andre Drummond,,returned to lineup
666,2020-03-08,Cavaliers,Dean Wade,,returned to lineup
667,2020-03-08,Kings,,Jabari Parker,stomach illness (DTD)
668,2020-03-08,Pistons,,Brandon Knight,strained right hamstring (DTD)
669,2020-03-08,Rockets,,Ben McLemore,gastroenteritis (DTD)
670,2020-03-08,Spurs,,Lonnie Walker IV,bruised left shin (out indefinitely)
671,2020-03-08,Wizards,,Jerome Robinson,left Achilles injury (DTD)
672,2020-03-09,Cavaliers,,Tristan Thompson,right eye injury (out for season)
673,2020-03-09,Mavericks,,Willie Cauley-Stein,illness (DTD)
674,2020-03-09,Nuggets,,Keita Bates-Diop,bruised left knee (DTD)
675,2020-03-09,Spurs,,Dejounte Murray,strained right calf (DTD)
676,2020-03-09,Hornets,Kobi Simmons,,returned to lineup
677,2020-03-10,Clippers,,Louis Williams / Lou Williams,right calf injury (DTD)
678,2020-03-10,Grizzlies,,Jontay Porter,right knee injury (DTD)
679,2020-03-10,Kings,Jabari Parker,,returned to lineup
680,2020-03-10,Pistons,Brandon Knight,,returned to lineup
681,2020-03-10,Rockets,,Michael Frazier II,fractured left forearm (out indefinitely)
682,2020-03-10,Rockets,Ben McLemore,,returned to lineup
683,2020-03-10,Wizards,Jerome Robinson,,returned to lineup
684,2020-03-11,Bulls,,Chandler Hutchison,surgery on right shoulder (out for season)
685,2020-03-11,Heat,Jae Crowder,,returned to lineup
686,2020-03-11,Jazz,,Emmanuel Mudiay,illness (DTD)
687,2020-03-11,Jazz,,Rudy Gobert,COVID-19 coronavirus (out indefinitely)
688,2020-03-11,Nets,,Joe Harris,sprained right ankle (DTD)
689,2020-03-11,Pistons,,Bruce Brown,sprained right ankle (out for season)
690,2020-03-11,Nuggets,Keita Bates-Diop,,returned to lineup
691,2020-03-12,Jazz,,Donovan Mitchell,COVID-19 coronavirus (DTD)
692,2020-03-13,Mavericks,,Jalen Brunson,surgery on right shoulder to repair torn labrum (out for season)
693,2020-03-14,Pistons,,Christian Wood,COVID-19 coronavirus (DTD)
694,2020-03-17,Nets,,Kevin Durant,NBA health and safety protocols (DTD)
695,2020-03-18,Clippers,,Terance Mann,surgery on right hand (out indefinitely)
696,2020-03-19,Celtics,,Marcus Smart,COVID-19 coronavirus (out indefinitely)
697,2020-05-18,Jazz,,Bojan Bogdanovic,surgery on right wrist (out for season)
698,2020-05-20,Warriors,,Kevon Looney,core muscle injury (out for season)
699,2020-06-08,Spurs,,LaMarcus Aldridge,surgery on right shoulder (out for season)
700,2020-06-22,Mavericks,,Courtney Lee,left calf injury (out for season)
701,2020-06-24,Nets,,Nicolas Claxton,surgery on shoulder (out for season)
702,2020-07-07,Wizards,,Bradley Beal,right rotator cuff injury (out for season)
703,2020-07-13,Lakers,,Rajon Rondo,fractured right thumb (out indefinitely)
704,2020-07-15,Spurs,,Trey Lyles,appendicitis (out for season)
705,2020-07-21,Grizzlies,,Justise Winslow,left hip / back injury (out for season)
706,2020-07-29,Clippers,,Montrezl Harrell,placed on IL with death of grandmother
707,2020-07-29,Pacers,,Domantas Sabonis / Domas Sabonis,left foot injury (out for season)
708,2020-07-29,Pacers,,Goga Bitadze,knee injury (DTD)
709,2020-07-29,Rockets,,Eric Gordon,sprained left ankle (DTD)
710,2020-07-30,Jazz,Donovan Mitchell,,returned to lineup
711,2020-07-30,Jazz,Emmanuel Mudiay,,returned to lineup
712,2020-07-30,Jazz,Rudy Gobert,,returned to lineup
713,2020-07-31,Blazers,,Jaylen Adams,back injury (DTD)
714,2020-07-31,Spurs,Lonnie Walker IV,,returned to lineup
715,2020-07-31,Suns,,Aron Baynes,conditioning (DTD)
716,2020-07-31,Suns,Cameron Johnson,,returned to lineup
717,2020-07-31,Suns,Deandre Ayton,,returned to lineup
718,2020-07-31,Wizards,,Garrison Mathews,placed on IL for personal reasons (out for season)
719,2020-08-02,Magic,,Jonathan Isaac,torn ACL in left knee (out for season)
720,2020-08-02,Thunder,,Dennis Schröder,placed on IL with birth of child
721,2020-08-03,76ers,,Kyle O'Quinn,placed on IL player not with team
722,2020-08-03,Nets,,Caris LeVert,bruised thigh (DTD)
723,2020-08-03,Nets,,Joe Harris,back injury (DTD)
724,2020-08-04,Grizzlies,,Jaren Jackson Jr.,torn meniscus in left knee (out indefinitely)
725,2020-08-04,Pacers,Goga Bitadze,,returned to lineup
726,2020-08-05,76ers,Kyle O'Quinn,,activated from IL
727,2020-08-05,Nets,Caris LeVert,,returned to lineup
728,2020-08-05,Nets,Joe Harris,,returned to lineup
729,2020-08-06,76ers,,Ben Simmons,dislocated kneecap in left knee (out indefinitely)
730,2020-08-06,Heat,,K.Z. Okpala,placed on IL for personal reasons (out for season)
731,2020-08-07,Heat,,Kendrick Nunn,placed on IL for personal reasons
732,2020-08-07,Spurs,,Tyler Zeller,right knee injury (out for season)
733,2020-08-08,76ers,,Ben Simmons,surgery on left knee to repair dislocated kneecap (out for season)
734,2020-08-09,Mavericks,,Kristaps Porzingis,left knee injury (DTD)
735,2020-08-09,Mavericks,,Luka Doncic,right ankle injury (DTD)
736,2020-08-09,Thunder,,Nerlens Noel,sore right ankle (DTD)
737,2020-08-10,Nets,,Caris LeVert,left thigh injury (DTD)
738,2020-08-10,Nets,,Jarrett Allen,sprained left ankle (DTD)
739,2020-08-10,Nets,,Joe Harris,left groin injury (DTD)
740,2020-08-10,Pelicans,,Brandon Ingram,sore right knee (out for season)
741,2020-08-11,76ers,,Al Horford,sore left knee (DTD)
742,2020-08-11,76ers,,Tobias Harris,sore right ankle (DTD)
743,2020-08-11,Magic,,Mohamed Bamba / Mo Bamba,migraine headache (DTD)
744,2020-08-11,Mavericks,Kristaps Porzingis,,returned to lineup
745,2020-08-11,Mavericks,Luka Doncic,,returned to lineup
746,2020-08-12,76ers,,Glenn Robinson III,left hip pointer (DTD)
747,2020-08-12,76ers,Al Horford,,returned to lineup
748,2020-08-12,76ers,Tobias Harris,,returned to lineup
749,2020-08-12,Magic,Mohamed Bamba / Mo Bamba,,returned to lineup
750,2020-08-12,Nets,Caris LeVert,,returned to lineup
751,2020-08-12,Nets,Jarrett Allen,,returned to lineup
752,2020-08-12,Nets,Joe Harris,,returned to lineup
753,2020-08-13,Heat,,Jimmy Butler,sore right foot (DTD)
754,2020-08-13,Heat,Kendrick Nunn,,activated from IL
755,2020-08-13,Nets,,Chris Chiozza,right adductor injury (DTD)
756,2020-08-13,Nets,,Donta Hall,sprained right ankle (DTD)
757,2020-08-13,Wizards,,Rui Hachimura,right quadricep injury (out for season)
758,2020-08-14,Heat,,Jae Crowder,bruised / sore right knee (DTD)
759,2020-08-14,Thunder,Dennis Schröder,,activated from IL
760,2020-08-16,Heat,,Derrick Jones Jr.,strained neck / shoulder (DTD)
761,2020-08-16,Jazz,,Mike Conley Jr.,birth of son (DTD)
762,2020-08-17,Blazers,,Zach Collins,left ankle injury (out for season)
763,2020-08-17,Clippers,Montrezl Harrell,,activated from IL
764,2020-08-17,Nets,Chris Chiozza,,returned to lineup
765,2020-08-17,Nets,Donta Hall,,returned to lineup
766,2020-08-18,Celtics,,Gordon Hayward,sprained right ankle (out for season)
767,2020-08-18,Heat,Jae Crowder,,returned to lineup
768,2020-08-18,Heat,Jimmy Butler,,returned to lineup
769,2020-08-19,Nets,,Joe Harris,placed on IL for personal reasons (out for season)
770,2020-08-19,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,left knee injury (DTD)
771,2020-08-21,Blazers,,Zach Collins,surgery on left ankle (out for season)
772,2020-08-21,Jazz,Mike Conley Jr.,,returned to lineup
773,2020-08-22,Lakers,,Rajon Rondo,back spasms (DTD)
774,2020-08-23,Mavericks,,Kristaps Porzingis,sore right knee (DTD)
775,2020-08-24,Thunder,,Deonte Burton,stomach illness (DTD)
776,2020-08-25,Celtics,,Javonte Green,arthroscopic surgery on right knee to repair torn meniscus (out for season)
777,2020-08-25,Lakers,,Anthony Davis,back spasms (DTD)
778,2020-08-26,Raptors,,Kyle Lowry,sprained left ankle (DTD)
779,2020-08-29,Blazers,,Wenyen Gabriel,right quadricep injury (out for season)
780,2020-08-30,Raptors,Kyle Lowry,,returned to lineup
781,2020-09-03,Celtics,,Vincent Poirier,personal reasons (out for season)
782,2020-09-05,Bucks,,Giannis Antetokounmpo,sprained right ankle (DTD)
783,2020-09-08,Rockets,,Danuel House,personal reasons (DTD)
784,2020-09-08,Rockets,,Tyson Chandler,placed on IL for personal reasons
785,2020-09-08,Bucks,Giannis Antetokounmpo,,returned to lineup
786,2020-09-08,Bucks,,Giannis Antetokounmpo,sprained right ankle (DTD)
787,2020-09-10,Lakers,,JaVale McGee,sprained left ankle (DTD)
788,2020-09-10,Rockets,Tyson Chandler,,activated from IL
789,2020-09-12,Lakers,JaVale McGee,,returned to lineup
790,2020-09-22,Celtics,,Romeo Langford,surgery on right wrist (out for season)
791,2020-09-23,Heat,,Gabe Vincent,sore right knee (out for season)
792,2020-09-30,Heat,,Edrice Adebayo / Bam Adebayo,strained left shoulder (DTD)
793,2020-10-02,Heat,,Edrice Adebayo / Bam Adebayo,strained neck (DTD)
794,2020-10-06,Heat,Edrice Adebayo / Bam Adebayo,,returned to lineup
795,2020-12-01,Celtics,,Kemba Walker,left knee injury (out indefinitely)
796,2020-12-01,Celtics,,Romeo Langford,right wrist injury (out indefinitely)
797,2020-12-01,Pacers,,Jeremy Lamb,recovering from surgery on left knee to repair torn ACL (out indefinitely)
798,2020-12-02,Magic,,Al-Farouq Aminu,recovering from surgery on right knee (out indefinitely)
799,2020-12-10,Pacers,,Brian Bowen II,groin injury (out indefinitely)
800,2020-12-16,Rockets,,Chris Clemons,torn right Achilles tendon (out indefinitely)
801,2020-12-19,Magic,,Jonathan Isaac,recovering from surgery on left knee to repair torn ACL (out indefinitely)
802,2020-12-21,Nets,,Nicolas Claxton,right knee injury (DTD)
803,2020-12-21,Pacers,,Goga Bitadze,sprained right ankle (out indefinitely)
804,2020-12-21,Suns,,Dario Saric,right quadricep injury (DTD)
805,2020-12-21,Warriors,,Alen Smailagic,torn meniscus in right knee (DTD)
806,2020-12-22,Blazers,,Nassir Little,COVID-19 (DTD)
807,2020-12-22,Cavaliers,,Kevin Porter Jr.,personal reasons (DTD)
808,2020-12-22,Clippers,,Jay Scrubb,foot injury (out indefinitely)
809,2020-12-22,Grizzlies,,Xavier Tillman,left knee injury (DTD)
810,2020-12-22,Hornets,,Grant Riller,left knee injury (DTD)
811,2020-12-22,Kings,,Jabari Parker,back injury (DTD)
812,2020-12-22,Knicks,,Omari Spellman,sore right knee (DTD)
813,2020-12-22,Nuggets,,Greg Whittington,sprained left knee (DTD)
814,2020-12-22,Pelicans,,Wenyen Gabriel,right knee injury (DTD)
815,2020-12-22,Pelicans,,Will Magnay,player not with team (DTD)
816,2020-12-22,Pistons,,Deividas Sirvydis,player not with team (DTD)
817,2020-12-22,Rockets,,Ben McLemore,player not with team (DTD)
818,2020-12-22,Spurs,,Quinndary Weatherspoon,left knee injury (DTD)
819,2020-12-22,Suns,,Abdel Nader,concussion (DTD)
820,2020-12-22,Thunder,,Theo Maledon,personal reasons (DTD)
821,2020-12-22,Thunder,,Trevor Ariza,player not with team (DTD)
822,2020-12-22,Thunder,,Ty Jerome,sprained left ankle (DTD)
823,2020-12-22,Timberwolves,,Jaylen Nowell,strained left calf (DTD)
824,2020-12-23,Bulls,,Thaddeus Young,leg injury (DTD)
825,2020-12-23,Grizzlies,,Jontay Porter,right knee injury (DTD)
826,2020-12-23,Hawks,,Tony Snell,right foot injury (DTD)
827,2020-12-23,Hornets,,Cody Zeller,fractured left hand (out indefinitely)
828,2020-12-24,Cavaliers,,Dylan Windler,fractured left hand (out indefinitely)
829,2020-12-25,Rockets,,Ben McLemore,COVID-19 protocols
830,2020-12-25,Rockets,,DeMarcus Cousins,COVID-19 protocols
831,2020-12-25,Rockets,,Eric Gordon,COVID-19 protocols
832,2020-12-25,Rockets,,John Wall (Hildred),COVID-19 protocols
833,2020-12-25,Rockets,,Mason Jones,player not with team (DTD)
834,2020-12-25,Spurs,,Derrick White,surgery on left toe (out indefinitely)
835,2020-12-26,Hawks,,Danilo Gallinari,bruised left foot (DTD)
836,2020-12-26,Kings,Jabari Parker,,returned to lineup
837,2020-12-26,Pacers,,Edmond Sumner,illness (DTD)
838,2020-12-26,Pistons,Deividas Sirvydis,,returned to lineup
839,2020-12-27,76ers,,Joel Embiid,back injury (DTD)
840,2020-12-27,Clippers,,Kawhi Leonard,mouth injury (DTD)
841,2020-12-27,Hornets,Grant Riller,,returned to lineup
842,2020-12-27,Pelicans,Will Magnay,,returned to lineup
843,2020-12-27,Suns,,Jalen Smith,sprained left ankle (DTD)
844,2020-12-28,Bucks,,Torrey Craig,fractured nose (out indefinitely)
845,2020-12-28,Lakers,,Alex Caruso,NBA health and safety protocols (DTD)
846,2020-12-28,Pistons,,Frank Jackson,player not with team (DTD)
847,2020-12-28,Pistons,,Jahlil Okafor,sprained right ankle (DTD)
848,2020-12-29,76ers,Joel Embiid,,returned to lineup
849,2020-12-29,Bulls,Thaddeus Young,,returned to lineup
850,2020-12-29,Knicks,,Alec Burks,sprained left ankle (DTD)
851,2020-12-29,Nuggets,,Jamal Murray,right elbow injury (DTD)
852,2020-12-29,Pacers,Edmond Sumner,,returned to lineup
853,2020-12-29,Suns,Dario Saric,,returned to lineup
854,2020-12-30,Clippers,Kawhi Leonard,,returned to lineup
855,2020-12-30,Hawks,,Kris Dunn,surgery on right ankle to remove loose cartilage (out indefinitely)
856,2020-12-30,Hawks,Danilo Gallinari,,returned to lineup
857,2020-12-30,Rockets,DeMarcus Cousins,,returned to lineup
858,2020-12-30,Rockets,Eric Gordon,,returned to lineup
859,2020-12-30,Rockets,John Wall (Hildred),,returned to lineup
860,2020-12-31,Hawks,,Danilo Gallinari,sprained right ankle (out indefinitely)
861,2020-12-31,Magic,,Mohamed Bamba / Mo Bamba,head injury (DTD)
862,2020-12-31,Pacers,,T.J. Warren,surgery on left foot to repair stress fracture (out for season) (date approximate)
863,2021-01-01,Grizzlies,,Grayson Allen,sprained left ankle (DTD)
864,2021-01-01,Magic,Mohamed Bamba / Mo Bamba,,returned to lineup
865,2021-01-01,Nuggets,Jamal Murray,,returned to lineup
866,2021-01-01,Pistons,Jahlil Okafor,,returned to lineup
